,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.52,0.64,0.72,0.54,0.55,0.48,0.48,0.53,0.37,0.47,0.98,0.63,0.9,0.49,0.43,0.41
chaosrts.csv,0.5,0.45,0.49,0.79,0.68,0.47,0.42,0.51,0.36,0.45,0.5,0.39,0.41,0.57,0.46,0.35
dxengine.csv,0.45,0.9,0.5,0.46,0.59,0.94,0.98,0.78,0.8,0.83,0.71,0.85,0.62,0.8,0.96,0.55
e-bio-flow.csv,0.89,0.51,0.67,0.54,0.6,0.45,0.48,0.46,0.55,0.53,0.54,0.64,0.4,0.0,0.64,0.38
jbpm.csv,0.9,0.9,0.5,0.67,0.88,0.5,0.75,0.8,0.83,0.87,0.0,0.73,0.0,0.0,0.49,0.83
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0
jmoney.csv,0.43,0.55,0.36,0.46,0.46,0.38,0.42,0.53,0.62,0.35,0.4,0.34,0.42,0.55,0.39,0.43
jmonkeyengine.csv,0.55,0.59,0.42,0.77,0.57,0.72,0.65,0.57,0.63,0.55,0.44,0.83,0.5,0.59,0.79,0.49
joustsim.csv,0.75,0.51,0.4,0.93,0.43,0.64,0.61,0.59,0.39,0.54,0.47,0.67,0.42,0.67,0.84,0.8
jsidplay2.csv,0.31,0.4,0.45,0.4,0.52,0.37,0.43,0.48,0.39,0.41,0.55,0.52,0.54,0.58,0.39,0.33
log4net.csv,0.5,0.42,0.93,0.75,0.93,0.59,0.71,0.95,0.8,0.51,0.97,0.38,0.94,0.0,0.49,0.41
piccolo2d.csv,0.5,0.38,0.91,0.48,0.65,0.62,0.57,0.84,0.67,0.5,0.56,0.43,0.88,0.0,0.39,0.53
reaper3d.csv,0.5,0.55,0.37,0.41,0.5,0.89,0.53,0.8,0.85,0.56,0.89,0.8,0.5,0.78,0.89,0.5
sblim.csv,0.55,0.88,0.88,0.89,0.49,0.82,0.98,0.88,0.91,0.79,0.49,0.67,0.89,0.86,0.84,0.46
thedata.csv,0.42,0.46,0.43,0.41,0.52,0.49,0.53,0.53,0.65,0.48,0.43,0.56,0.37,0.66,0.46,0.89
tmva.csv,0.48,0.41,0.53,0.42,0.53,0.4,0.41,0.47,0.37,0.41,0.5,0.48,0.4,0.45,0.38,0.33
