,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.31,0.3,0.31,0.72,0.11,0.13,0.11,0.03,0.26,0.32,0.86,0.12,0.07,0.0,0.87,0.05
chaosrts.csv,0.41,0.27,0.35,0.84,0.14,0.2,0.17,0.04,0.3,0.42,0.82,0.29,0.09,0.0,0.97,0.05
dxengine.csv,0.48,0.2,0.63,0.72,0.44,0.12,0.0,0.03,0.2,0.39,0.82,0.15,0.21,0.0,0.87,0.03
e-bio-flow.csv,0.33,0.14,0.28,0.82,0.14,0.18,0.1,0.04,0.4,0.59,0.82,0.43,0.07,0.0,0.92,0.03
jbpm.csv,0.4,0.2,0.5,1.0,0.38,0.0,0.44,0.0,0.67,0.47,1.0,0.09,0.0,0.0,0.89,0.17
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
jmoney.csv,0.74,0.3,0.52,0.92,0.25,0.23,0.2,0.03,0.31,0.47,0.75,0.25,0.12,0.0,0.94,0.04
jmonkeyengine.csv,0.18,0.15,0.41,0.57,0.31,0.1,0.19,0.01,0.53,0.29,0.68,0.08,0.06,0.04,0.86,0.02
joustsim.csv,0.2,0.15,0.44,0.79,0.21,0.16,0.24,0.02,0.34,0.36,0.68,0.67,0.08,0.05,1.0,0.15
jsidplay2.csv,0.4,0.23,0.31,0.9,0.21,0.14,0.12,0.02,0.25,0.38,0.8,0.14,0.04,0.04,0.88,0.05
log4net.csv,0.65,0.22,0.4,0.94,0.36,0.21,0.15,0.16,0.0,0.41,0.66,0.31,0.22,0.0,0.89,0.06
piccolo2d.csv,0.67,0.2,0.64,0.91,0.35,0.42,0.19,0.11,0.33,0.54,0.92,0.24,0.12,0.0,0.89,0.05
reaper3d.csv,0.44,0.1,0.51,0.83,0.36,0.17,0.09,0.0,0.23,0.44,0.79,0.6,0.16,0.0,0.78,0.5
sblim.csv,0.4,0.0,0.62,0.89,0.49,0.41,0.55,0.0,0.45,0.5,0.71,0.33,0.0,0.0,0.96,0.04
thedata.csv,0.38,0.2,0.43,0.8,0.26,0.11,0.06,0.02,0.23,0.35,0.74,0.21,0.09,0.0,0.83,0.44
tmva.csv,0.3,0.24,0.32,0.75,0.1,0.15,0.12,0.02,0.27,0.38,0.86,0.15,0.1,0.0,0.89,0.07
