,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.57,0.75,0.18,0.1,0.06,0.22,0.36,0.43,0.27,0.21,0.1,0.19,0.69
freewrl.csv,0.75,0.75,0.19,0.42,0.13,0.74,0.71,0.57,0.37,0.28,0.71,0.22,0.78
fulguro.csv,0.45,0.13,0.0,0.73,0.1,0.68,0.0,0.34,0.39,0.44,0.61,0.33,0.0
google-web-toolkit.csv,0.63,0.17,0.11,0.62,0.19,0.55,0.7,0.47,0.34,0.3,0.61,0.25,0.63
jcache.csv,0.75,0.73,0.2,0.62,0.13,0.64,0.67,0.56,0.5,0.23,0.89,0.18,0.75
jstock.csv,0.6,0.26,0.03,0.42,0.17,0.64,0.54,0.53,0.71,0.19,0.75,0.17,0.55
mimosa.csv,0.69,0.75,0.25,0.78,0.11,0.63,0.63,0.55,0.45,0.46,0.66,0.18,0.67
miranda.csv,0.67,0.42,0.06,0.1,0.0,0.0,0.13,0.44,0.0,0.2,0.56,0.19,0.76
ns-3-dev-def-routing.csv,0.6,0.71,0.24,0.58,0.17,0.21,0.56,0.55,0.26,0.33,0.59,0.18,0.77
ossbuild.csv,0.75,0.55,0.47,0.59,0.15,0.63,0.52,0.53,0.4,0.2,0.55,0.17,0.67
qtractor.csv,0.74,0.63,0.23,0.69,0.13,0.12,0.57,0.63,0.55,0.26,0.7,0.22,0.78
quarkplayer.csv,0.06,0.17,0.16,0.48,0.28,0.0,0.31,0.3,0.0,0.32,0.33,0.27,0.17
synergyspace.csv,0.37,0.51,0.22,0.61,0.16,0.12,0.56,0.37,0.32,0.44,0.32,0.17,0.19
