,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.47,0.65,0.73,0.0,0.18,0.19,1.0,0.41,0.0,0.87,0.74,0.43,0.18,0.43,0.13,0.94,0.77,0.74,0.48
boost.csv,0.36,0.63,0.74,0.56,0.15,0.2,0.69,0.56,0.86,0.49,0.76,0.46,0.22,0.5,0.12,0.67,1.0,0.79,0.3
codepurge.csv,0.57,0.47,0.75,0.42,0.15,0.15,0.64,0.44,0.82,0.56,0.64,0.62,0.33,0.47,0.1,0.8,1.0,0.4,0.15
elateportal.csv,0.16,0.55,0.71,0.38,0.14,0.23,0.54,0.4,0.72,0.5,0.62,0.29,0.15,0.41,0.02,1.0,0.77,0.72,0.27
etics.csv,0.56,0.76,0.76,0.51,0.43,0.15,0.86,0.64,0.85,0.74,0.96,0.47,0.24,0.75,0.21,1.0,1.0,0.91,0.52
factor.csv,0.1,0.42,0.68,0.48,0.12,0.11,0.57,0.43,0.65,0.3,1.0,0.11,0.17,0.64,0.04,0.0,0.91,0.91,0.54
gusanos.csv,0.31,0.61,0.71,0.39,0.26,0.23,0.62,0.42,0.89,0.55,0.8,0.36,0.17,0.47,0.07,0.91,1.0,0.77,0.26
kvs.csv,0.39,0.57,0.8,0.29,0.52,0.17,0.33,0.47,0.68,0.53,0.78,0.4,0.5,0.36,0.08,0.79,0.0,0.18,0.18
lcfizvtop.csv,0.29,0.44,0.74,0.32,0.31,0.47,0.62,0.33,0.71,0.33,0.7,0.38,0.14,0.41,0.01,0.98,0.76,0.29,0.17
mcore3d.csv,0.57,0.67,0.75,0.49,0.21,0.25,0.51,0.68,0.86,0.49,0.79,0.4,0.23,0.5,0.08,1.0,0.82,0.58,0.3
modellus.csv,0.55,0.64,0.77,0.42,0.29,0.13,0.8,0.46,0.79,0.5,0.96,0.4,0.15,0.66,0.17,1.0,1.0,0.8,0.35
modplug.csv,0.24,0.48,0.68,0.33,0.22,0.22,0.53,0.43,0.7,0.47,0.92,0.34,0.13,0.38,0.06,0.91,0.8,0.69,0.24
passwordsafe.csv,0.26,0.61,0.72,0.45,0.14,0.17,0.71,0.45,0.72,0.55,0.9,0.39,0.17,0.63,0.12,0.5,0.88,0.88,0.5
pixel-commandos.csv,0.29,0.62,0.77,0.48,0.0,0.11,1.0,0.54,1.0,0.61,0.86,0.39,0.18,0.67,0.4,0.0,1.0,1.0,0.29
projecteqemu.csv,0.41,0.74,0.83,0.41,0.5,0.25,0.74,0.54,0.9,0.67,0.93,0.33,0.17,0.72,0.1,1.0,1.0,0.75,0.57
pydev.csv,0.39,0.68,0.81,0.48,0.26,0.33,0.69,0.61,0.83,0.52,0.93,0.6,0.3,0.55,0.12,0.83,0.82,0.7,0.52
sandiaportals.csv,0.23,0.6,0.72,0.39,0.25,0.24,0.58,0.45,0.72,0.61,0.91,0.34,0.15,0.6,0.07,0.0,0.94,0.86,0.28
uwom.csv,0.45,0.73,0.78,0.39,0.0,0.19,0.65,0.48,1.0,0.51,0.89,0.44,0.15,0.64,0.0,0.8,0.0,0.79,0.48
xbplayer.csv,0.57,0.6,0.8,0.57,0.75,0.18,0.71,0.48,0.87,0.81,0.69,0.37,0.21,0.64,0.11,0.85,1.0,0.72,0.32
