,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.87,0.35,1.0,0.47,0.58,0.45,0.35,0.33,0.46,0.66,0.53,0.67
dsworkbench.csv,0.98,0.36,0.3,0.54,0.46,0.14,0.29,0.15,0.31,0.32,0.47,0.75
gogoego.csv,0.3,0.94,0.35,0.4,0.25,0.1,0.24,0.08,0.4,0.15,0.22,0.51
jpaul.csv,0.44,0.3,0.18,1.0,0.43,0.32,0.34,0.0,0.47,0.45,0.0,0.14
loki-lib.csv,0.82,0.45,0.44,0.47,0.34,0.52,0.46,0.22,0.47,0.53,0.96,0.68
motu.csv,0.11,0.17,0.14,0.17,0.0,0.0,0.92,0.0,0.33,0.18,0.06,0.24
mp-rechnungs-und-kundenverwaltung.csv,0.52,0.32,0.17,0.32,0.17,0.22,0.26,0.27,0.97,0.28,0.42,0.79
rtrt-on-gpu.csv,0.23,0.24,0.42,0.09,0.29,0.2,0.09,1.0,0.32,0.32,0.19,0.66
scenemonitor.csv,0.76,0.4,0.59,0.49,1.0,0.38,0.38,0.26,0.5,0.47,0.38,0.53
xstore.csv,0.7,0.41,0.49,0.58,0.48,0.48,0.47,0.24,0.5,0.97,0.54,0.75
yarp0.csv,0.73,0.37,0.79,0.57,0.45,0.97,0.16,0.0,0.41,0.13,0.33,0.28
zemljanka.csv,0.87,0.39,0.94,0.44,0.56,0.45,0.37,0.29,0.46,0.69,0.6,1.0
