,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.13,0.36,0.99,0.1,0.1,0.6,0.83,0.4,0.63,0.16,0.71,0.84,0.0,0.71,0.06,0.98,0.7
cubefs.csv,0.42,0.49,1.0,0.09,0.0,0.7,1.0,0.36,0.49,0.3,1.0,0.91,0.0,0.61,0.04,0.78,0.81
gwanted.csv,0.2,0.59,1.0,0.27,0.24,0.6,0.82,0.66,0.6,1.0,0.59,0.89,0.0,0.0,0.22,0.95,0.5
iaml.csv,0.25,0.38,0.99,0.09,0.12,0.57,0.84,0.38,0.98,0.16,0.65,0.62,0.0,0.48,0.06,0.75,0.76
java-gnome.csv,0.4,0.38,1.0,0.11,0.09,0.62,1.0,0.51,0.48,0.27,0.83,0.97,0.0,0.57,0.1,0.77,0.71
mecat.csv,0.0,0.4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mvdsv.csv,0.0,0.56,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
openwbem.csv,0.15,0.98,0.98,0.18,0.1,0.67,0.83,0.32,0.61,0.17,0.69,0.8,0.0,0.63,0.02,0.68,0.76
orc.csv,0.04,0.29,0.0,1.0,0.4,0.59,0.81,0.38,0.61,0.24,0.62,0.55,0.0,0.33,0.05,0.78,0.0
plato.csv,0.12,0.34,0.98,0.07,0.0,0.65,1.0,0.41,0.62,0.16,0.64,0.77,0.02,0.51,0.04,0.67,0.7
rodin-b-sharp.csv,0.5,0.0,0.98,0.32,0.04,0.57,0.83,1.0,0.45,0.12,0.67,0.94,0.0,0.0,0.06,0.5,0.58
ta3d.csv,0.31,0.49,0.99,0.11,0.11,0.65,0.85,0.29,0.61,0.14,0.73,0.72,0.0,0.54,0.06,0.7,1.0
tycho.csv,0.12,0.46,1.0,0.09,0.1,0.61,0.92,0.38,0.57,0.21,0.63,0.89,0.0,1.0,0.04,0.81,0.74
umber.csv,1.0,0.45,1.0,0.08,0.09,1.0,0.74,0.46,0.48,0.21,0.83,0.86,0.02,0.67,0.04,0.71,0.75
vienna-add-in.csv,0.45,0.4,0.99,0.06,0.09,1.0,0.77,0.46,0.67,0.21,0.74,0.9,0.03,0.33,0.06,0.72,0.68
wpdev.csv,0.26,0.36,1.0,0.12,0.09,0.67,0.86,0.39,0.58,0.2,0.7,0.82,0.02,0.59,0.05,0.54,0.67
