,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.19,0.52,0.91,0.19,0.18,0.62,0.82,0.55,0.68,0.25,0.77,0.83,0.0,0.74,0.11,0.98,0.77
cubefs.csv,0.32,0.4,0.38,0.14,0.0,0.59,0.29,0.43,0.45,0.4,0.99,0.67,0.0,0.42,0.08,0.64,0.51
gwanted.csv,0.31,0.11,0.36,0.32,0.39,0.66,0.78,0.51,0.6,0.96,0.26,0.43,0.0,0.0,0.33,0.49,0.05
iaml.csv,0.36,0.48,0.8,0.16,0.22,0.49,0.71,0.48,0.97,0.25,0.51,0.45,0.0,0.51,0.1,0.68,0.63
java-gnome.csv,0.55,0.49,0.91,0.2,0.16,0.44,0.5,0.62,0.38,0.4,0.4,0.97,0.0,0.19,0.18,0.58,0.24
mecat.csv,0.0,0.02,0.1,0.38,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mvdsv.csv,0.0,0.04,0.0,0.0,1.0,0.0,0.05,0.02,0.01,0.0,0.03,0.0,0.0,0.0,0.5,0.0,0.06
openwbem.csv,0.19,0.95,0.75,0.29,0.17,0.69,0.82,0.41,0.5,0.26,0.77,0.66,0.0,0.68,0.05,0.71,0.75
orc.csv,0.06,0.04,0.0,1.0,0.36,0.63,0.82,0.46,0.54,0.26,0.53,0.18,0.0,0.05,0.09,0.34,0.0
plato.csv,0.17,0.49,0.87,0.12,0.0,0.68,0.99,0.55,0.63,0.26,0.57,0.77,0.05,0.59,0.07,0.76,0.68
rodin-b-sharp.csv,0.1,0.0,0.56,0.34,0.08,0.09,0.5,0.99,0.26,0.11,0.05,0.88,0.0,0.0,0.1,0.29,0.3
ta3d.csv,0.48,0.54,0.81,0.19,0.18,0.71,0.81,0.37,0.63,0.23,0.74,0.6,0.0,0.64,0.12,0.72,1.0
tycho.csv,0.17,0.51,0.85,0.15,0.19,0.4,0.67,0.46,0.4,0.29,0.36,0.45,0.0,0.99,0.07,0.48,0.52
umber.csv,1.0,0.36,0.81,0.13,0.16,0.27,0.46,0.49,0.33,0.24,0.22,0.79,0.05,0.45,0.06,0.46,0.61
vienna-add-in.csv,0.61,0.4,0.71,0.1,0.16,0.99,0.53,0.47,0.6,0.32,0.73,0.62,0.07,0.05,0.1,0.6,0.8
wpdev.csv,0.41,0.53,1.0,0.21,0.16,0.8,0.87,0.55,0.69,0.34,0.82,0.89,0.03,0.74,0.09,0.49,0.77
