,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.29,0.27,0.73,0.27,0.43,0.39,0.38,0.6,0.64,0.52,0.56,0.7,0.0,0.73,0.52,0.98,0.5
cubefs.csv,0.3,0.38,0.27,0.35,0.0,0.52,0.2,0.51,0.41,0.63,0.98,0.57,0.0,0.35,0.52,0.58,0.42
gwanted.csv,0.38,0.07,0.26,0.43,0.92,0.09,0.36,0.47,0.58,0.94,0.2,0.32,0.0,0.0,0.7,0.38,0.04
iaml.csv,0.52,0.59,0.63,0.47,0.71,0.41,0.55,0.57,0.97,0.5,0.43,0.32,0.0,0.44,0.6,0.62,0.55
java-gnome.csv,0.78,0.59,0.87,0.24,0.0,0.37,0.38,0.73,0.35,0.71,0.3,0.96,0.0,0.13,0.86,0.51,0.17
mecat.csv,0.0,0.01,0.06,0.36,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mvdsv.csv,0.0,0.02,0.0,0.0,1.0,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.38,0.0,0.04
openwbem.csv,0.29,0.94,0.0,0.72,0.59,0.55,0.38,0.5,0.46,0.54,0.39,0.55,0.0,0.66,0.33,0.59,0.68
orc.csv,0.12,0.02,0.0,1.0,0.38,0.19,0.0,0.55,0.51,0.33,0.44,0.13,0.0,0.04,0.37,0.26,0.0
plato.csv,0.29,0.36,0.0,0.32,0.0,0.49,0.98,0.63,0.6,0.52,0.47,0.48,0.7,0.44,0.37,0.54,0.58
rodin-b-sharp.csv,0.06,0.0,0.41,0.43,0.32,0.06,0.39,0.98,0.21,0.13,0.04,0.82,0.0,0.0,0.37,0.23,0.23
ta3d.csv,0.61,0.61,0.63,0.52,0.61,0.42,0.55,0.43,0.6,0.41,0.62,0.45,0.0,0.41,0.6,0.63,1.0
tycho.csv,0.28,0.59,0.78,0.48,0.51,0.33,0.55,0.56,0.35,0.46,0.29,0.35,0.0,0.98,0.36,0.39,0.44
umber.csv,1.0,0.35,0.72,0.4,0.0,0.19,0.34,0.55,0.29,0.33,0.16,0.7,0.67,0.38,0.36,0.38,0.53
vienna-add-in.csv,0.85,0.43,0.54,0.36,0.58,0.99,0.4,0.52,0.57,0.62,0.63,0.51,0.85,0.04,0.37,0.54,0.0
wpdev.csv,0.0,0.0,1.0,0.55,0.13,0.0,0.59,0.36,0.49,0.57,0.24,0.61,0.21,0.45,0.0,0.39,0.0
