,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.61,0.09,0.27,0.24,0.27,0.76,1.0,0.49,0.19,0.77,0.54,0.68,0.37
gamestone.csv,0.93,1.0,0.71,0.4,0.15,0.75,0.17,0.34,0.2,1.0,1.0,0.7,0.43
gbif-providertoolkit.csv,0.79,0.0,0.44,0.67,1.0,1.0,1.0,0.33,0.33,1.0,1.0,0.83,0.69
growl-for-windows.csv,0.63,0.14,0.54,0.34,0.22,0.76,0.45,0.42,0.26,0.87,0.57,1.0,0.42
gss.csv,0.69,0.16,0.54,0.3,0.17,0.67,0.41,0.41,0.22,0.89,1.0,0.58,0.45
heekscad.csv,1.0,0.19,0.59,0.36,0.26,0.71,0.5,0.39,0.18,0.94,0.65,0.61,0.4
igarden.csv,0.87,0.18,0.65,0.97,0.33,0.78,0.59,0.67,0.21,0.93,0.86,0.88,0.44
levent.csv,0.77,0.2,0.64,0.46,0.28,0.98,0.52,0.43,0.24,0.88,0.7,0.68,0.42
openmsx.csv,0.64,0.1,0.44,0.36,0.17,0.52,0.43,1.0,0.24,0.81,0.55,0.66,0.41
pnotepad.csv,0.69,0.17,0.49,0.31,0.21,0.74,0.39,0.42,0.17,1.0,0.67,0.62,0.44
quark.csv,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.33,1.0,0.0,1.0,1.0,0.52
tango-cs.csv,0.67,0.12,0.52,0.42,0.23,0.72,0.33,0.34,0.21,0.87,0.75,0.72,0.98
xcsoar.csv,0.82,0.22,0.98,0.35,0.19,0.85,0.48,0.46,0.22,1.0,0.75,0.74,0.42
