,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.5,0.15,0.29,0.19,0.36,0.56,0.98,0.55,0.27,0.61,0.62,0.63,0.42
gamestone.csv,0.3,1.0,0.42,0.2,0.15,0.11,0.07,0.21,0.24,0.34,0.33,0.3,0.45
gbif-providertoolkit.csv,0.24,0.0,0.12,0.12,0.92,0.08,0.32,0.06,0.21,0.08,0.06,0.24,0.36
growl-for-windows.csv,0.7,0.22,0.58,0.46,0.35,0.61,0.47,0.51,0.4,0.68,0.49,0.96,0.41
gss.csv,0.78,0.27,0.67,0.45,0.28,0.75,0.57,0.55,0.34,0.87,1.0,0.54,0.54
heekscad.csv,0.99,0.28,0.62,0.5,0.39,0.43,0.62,0.4,0.27,0.73,0.57,0.53,0.51
igarden.csv,0.49,0.21,0.34,0.95,0.2,0.42,0.53,0.25,0.33,0.42,0.32,0.57,0.38
levent.csv,0.59,0.22,0.53,0.44,0.4,0.97,0.52,0.39,0.35,0.58,0.6,0.56,0.36
openmsx.csv,0.65,0.16,0.43,0.39,0.27,0.35,0.55,0.99,0.38,0.77,0.64,0.75,0.57
pnotepad.csv,0.8,0.3,0.63,0.47,0.33,0.76,0.54,0.57,0.29,0.99,0.75,0.6,0.56
quark.csv,0.19,0.0,0.0,0.16,0.0,0.0,0.09,0.03,1.0,0.0,0.24,0.05,0.42
tango-cs.csv,0.68,0.19,0.54,0.53,0.3,0.39,0.2,0.41,0.31,0.67,0.52,0.68,0.97
xcsoar.csv,0.73,0.32,0.97,0.37,0.31,0.59,0.63,0.44,0.37,0.55,0.6,0.69,0.55
