,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.43,0.5,0.3,0.16,0.57,0.45,0.95,0.63,0.46,0.5,0.73,0.58,0.49
gamestone.csv,0.18,1.0,0.3,0.13,0.14,0.06,0.05,0.15,0.31,0.21,0.2,0.19,0.47
gbif-providertoolkit.csv,0.14,0.0,0.07,0.06,0.86,0.04,0.19,0.03,0.15,0.04,0.03,0.14,0.24
growl-for-windows.csv,0.81,0.62,0.62,0.68,0.86,0.51,0.48,0.66,0.85,0.56,0.43,0.92,0.4
gss.csv,0.88,0.75,0.88,0.94,0.79,0.86,0.95,0.86,0.69,0.85,1.0,0.5,0.69
heekscad.csv,0.97,0.5,0.64,0.84,0.79,0.31,0.81,0.42,0.54,0.6,0.5,0.47,0.69
igarden.csv,0.34,0.25,0.23,0.94,0.14,0.29,0.48,0.15,0.69,0.27,0.2,0.42,0.33
levent.csv,0.48,0.25,0.45,0.42,0.71,0.96,0.52,0.35,0.62,0.44,0.53,0.47,0.31
openmsx.csv,0.66,0.38,0.41,0.42,0.71,0.27,0.76,0.98,0.92,0.73,0.77,0.86,0.93
pnotepad.csv,0.96,1.0,0.91,1.0,0.86,0.8,0.86,0.89,0.85,0.98,0.87,0.58,0.76
quark.csv,0.1,0.0,0.0,0.1,0.0,0.0,0.05,0.02,1.0,0.0,0.13,0.03,0.36
tango-cs.csv,0.69,0.5,0.57,0.71,0.43,0.27,0.14,0.49,0.62,0.54,0.4,0.64,0.96
xcsoar.csv,0.66,0.62,0.96,0.39,0.79,0.45,0.95,0.43,1.0,0.38,0.5,0.64,0.82
