,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.73,0.92,0.94,0.87,0.54,0.63,0.05,0.58,0.72,0.86,0.99,0.69,0.74
gamestone.csv,0.82,0.0,0.7,0.87,0.87,0.94,0.97,0.87,0.76,0.79,0.8,0.82,0.67
gbif-providertoolkit.csv,0.86,1.01,0.93,0.94,0.14,0.96,0.81,0.97,0.85,0.96,0.97,0.86,0.76
growl-for-windows.csv,0.81,0.72,0.56,0.64,0.64,0.6,0.66,0.71,0.62,0.59,0.76,0.08,0.7
gss.csv,0.65,0.65,0.6,0.95,0.82,0.92,0.97,0.87,0.67,0.52,0.0,0.88,0.63
heekscad.csv,0.03,0.6,0.5,0.67,0.51,0.74,0.6,0.74,0.77,0.44,0.64,0.81,0.74
igarden.csv,0.67,0.77,0.77,0.07,0.86,0.74,0.57,0.85,0.71,0.74,0.8,0.59,0.72
levent.csv,0.57,0.77,0.59,0.62,0.48,0.06,0.58,0.73,0.62,0.64,0.58,0.69,0.74
openmsx.csv,0.7,0.81,0.72,0.66,0.8,0.9,0.74,0.02,0.73,0.84,0.98,0.9,0.89
pnotepad.csv,0.72,0.73,0.77,0.96,0.7,0.64,0.94,0.85,1.01,0.02,0.66,0.83,0.67
quark.csv,0.9,1.0,1.0,0.9,1.0,1.0,0.95,0.98,0.0,1.0,0.87,0.97,0.68
tango-cs.csv,0.63,0.76,0.6,0.51,0.64,0.77,0.88,0.82,0.69,0.61,0.63,0.62,0.05
xcsoar.csv,0.41,0.51,0.04,0.68,0.73,0.58,0.73,0.67,0.87,0.62,0.56,0.57,0.77
