,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.45,0.4,0.31,0.19,0.59,0.48,0.96,0.61,0.47,0.44,0.2,0.55,0.48
gamestone.csv,0.22,1.0,0.35,0.16,0.17,0.07,0.06,0.18,0.35,0.25,0.24,0.22,0.49
gbif-providertoolkit.csv,0.17,0.0,0.09,0.07,0.88,0.05,0.23,0.04,0.18,0.05,0.04,0.17,0.28
growl-for-windows.csv,0.52,0.55,0.61,0.61,0.68,0.53,0.5,0.57,0.69,0.57,0.44,0.93,0.43
gss.csv,0.68,0.64,0.72,0.24,0.51,0.32,0.13,0.42,0.6,0.75,1.0,0.43,0.62
heekscad.csv,0.98,0.53,0.64,0.66,0.72,0.35,0.69,0.44,0.5,0.63,0.52,0.45,0.57
igarden.csv,0.39,0.29,0.27,0.95,0.17,0.33,0.52,0.18,0.59,0.31,0.24,0.47,0.37
levent.csv,0.52,0.29,0.49,0.46,0.69,0.96,0.54,0.39,0.6,0.48,0.55,0.49,0.35
openmsx.csv,0.58,0.4,0.44,0.45,0.52,0.3,0.58,0.98,0.62,0.48,0.2,0.36,0.4
pnotepad.csv,0.65,0.65,0.58,0.17,0.63,0.66,0.26,0.47,0.0,0.98,0.67,0.48,0.63
quark.csv,0.12,0.0,0.0,0.12,0.0,0.0,0.06,0.02,1.0,0.0,0.16,0.04,0.4
tango-cs.csv,0.62,0.48,0.57,0.68,0.47,0.31,0.17,0.45,0.57,0.55,0.44,0.61,0.97
xcsoar.csv,0.68,0.63,0.97,0.43,0.6,0.5,0.63,0.46,0.43,0.43,0.54,0.62,0.56
