,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.65,0.76,0.67,0.8,0.62,0.8,0.53,1.0,0.69,0.94,0.51,0.53
e-bio-flow.csv,0.66,0.62,0.42,0.52,0.71,0.8,0.64,0.92,0.87,0.66,0.6,0.67
freedom-erp.csv,0.56,0.93,0.74,0.95,0.43,1.0,0.68,0.88,0.89,1.0,0.8,0.93
jbasic.csv,0.59,0.65,0.84,0.43,0.81,0.81,0.78,0.71,1.0,0.65,0.66,0.69
jgossipforum.csv,0.66,0.63,0.69,0.55,0.98,0.07,0.64,0.38,0.92,0.6,0.83,0.63
joustsim.csv,0.85,0.77,0.72,0.55,1.0,0.33,0.19,0.57,0.74,0.85,0.56,0.58
jsidplay2.csv,0.34,0.63,0.68,0.53,0.91,0.8,0.71,0.81,0.88,0.63,0.77,0.75
madman.csv,0.91,0.84,0.73,0.72,0.74,0.97,1.0,0.29,0.96,0.45,0.93,0.88
mule.csv,0.43,0.53,0.65,0.85,0.71,0.68,0.53,0.84,0.98,0.66,0.74,0.55
nunit.csv,0.7,0.66,0.83,0.66,0.81,0.5,0.53,0.97,0.81,0.74,0.61,0.42
power-architect.csv,0.69,0.85,0.8,0.8,0.8,0.79,0.63,0.96,0.3,0.95,0.59,0.92
reaper3d.csv,0.57,0.76,0.61,0.86,0.68,0.54,0.83,0.44,0.96,0.35,0.76,0.86
