,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.81,0.64,0.4,0.62,0.78,0.06,0.27,0.14,0.94,0.07,0.93,0.32
e-bio-flow.csv,0.85,0.67,0.61,0.62,0.61,0.2,0.57,0.15,1.0,0.09,0.91,0.27
freedom-erp.csv,0.9,0.91,0.57,1.0,0.75,0.0,0.22,0.2,0.7,0.0,0.85,0.21
jbasic.csv,0.81,0.64,0.35,0.67,0.62,0.03,0.19,0.17,0.78,0.14,0.91,0.24
jgossipforum.csv,0.85,0.71,0.4,0.65,0.4,0.25,0.67,0.3,0.63,0.11,0.96,0.36
joustsim.csv,0.71,0.62,0.36,0.59,0.23,0.06,0.69,0.21,0.79,0.08,0.92,0.27
jsidplay2.csv,0.89,0.66,0.39,0.63,0.6,0.06,0.18,0.11,0.78,0.1,0.88,0.19
madman.csv,0.66,0.51,0.38,0.48,0.76,0.01,0.09,0.36,1.0,0.14,1.0,0.13
mule.csv,0.92,0.72,0.4,0.59,0.65,0.02,0.23,0.1,0.74,0.12,0.88,0.29
nunit.csv,0.75,0.7,0.34,0.56,0.62,0.04,0.27,0.1,0.85,0.08,0.9,0.38
power-architect.csv,0.76,0.61,0.37,0.42,0.55,0.02,0.2,0.15,0.93,0.07,0.91,0.21
reaper3d.csv,0.81,0.59,0.44,0.47,0.64,0.04,0.2,0.31,0.72,0.18,0.86,0.14
