,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.23,0.19,0.26,0.23,0.22,0.32,0.28,0.25,0.36,0.25,0.26,0.33
factor.csv,0.23,0.19,0.19,0.22,0.29,0.28,0.18,0.3,0.21,0.43,0.18,0.34
fceugc.csv,0.29,0.17,0.25,0.22,0.23,0.24,0.3,0.25,0.17,0.21,0.24,0.28
flexpay.csv,0.22,0.38,0.2,0.38,0.34,0.17,0.2,0.21,0.15,0.38,0.18,0.22
jstock.csv,0.16,0.17,0.22,0.25,0.24,0.15,0.17,0.21,0.37,0.25,0.26,0.17
keyczar.csv,0.33,0.19,0.37,0.16,0.26,0.19,0.18,0.23,0.2,0.24,0.28,0.33
modellus.csv,0.25,0.21,0.23,0.36,0.19,0.23,0.25,0.14,0.19,0.14,0.24,0.36
open-data-kit.csv,0.27,0.29,0.36,0.38,0.22,0.31,0.27,0.27,0.4,0.16,0.28,0.41
phet.csv,0.31,0.38,0.3,0.33,0.31,0.32,0.36,0.3,0.4,0.43,0.3,0.39
qtractor.csv,0.18,0.21,0.15,0.17,0.17,0.17,0.17,0.18,0.14,0.37,0.22,0.19
sumatrapdf.csv,0.32,0.31,0.37,0.31,0.22,0.31,0.35,0.27,0.41,0.21,0.22,0.31
synergyspace.csv,0.22,0.35,0.3,0.38,0.23,0.19,0.21,0.23,0.24,0.24,0.18,0.36
