,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.35,0.29,0.4,0.5,0.3,0.39,0.33,0.48,0.48,0.51,0.87,0.7
factor.csv,0.2,0.44,0.26,0.33,0.34,0.61,0.32,0.0,0.26,0.02,0.41,0.92
fceugc.csv,0.54,0.63,0.49,0.68,0.57,0.31,0.65,0.56,0.18,0.45,0.48,0.7
flexpay.csv,0.34,0.44,0.52,0.17,0.0,0.53,0.42,0.72,0.18,0.41,0.11,0.06
jstock.csv,0.16,0.49,0.42,0.34,0.3,0.33,0.32,0.85,0.1,0.15,0.06,0.42
keyczar.csv,0.07,0.24,0.01,0.22,0.21,0.14,0.21,0.26,0.18,0.73,0.81,0.2
modellus.csv,0.35,0.55,0.54,0.23,0.57,0.79,0.75,0.43,0.46,0.22,0.06,0.06
open-data-kit.csv,0.49,0.55,0.42,0.09,0.58,0.69,0.76,0.82,0.43,0.29,0.36,0.64
phet.csv,0.67,0.41,0.2,0.38,0.26,0.32,0.35,0.45,0.36,0.27,0.0,0.42
qtractor.csv,0.33,0.64,0.46,0.52,0.59,0.65,0.47,0.49,0.39,0.05,0.06,0.06
sumatrapdf.csv,0.4,0.65,0.39,0.61,0.76,0.7,0.63,0.69,0.54,0.5,0.54,0.85
synergyspace.csv,0.31,0.29,0.51,0.12,0.6,0.54,0.37,0.48,0.65,0.31,0.11,0.02
