,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.75,0.56,0.54,0.76,0.42,0.95,0.56,0.98
aztec.csv,0.0,0.69,0.53,0.48,0.37,0.95,0.43,0.48
jbpm.csv,0.75,0.0,0.98,0.5,0.88,0.79,0.0,0.96
mediate.csv,0.83,0.48,0.82,0.91,0.47,0.71,0.8,0.82
mycila.csv,0.67,0.92,0.98,0.89,0.86,0.96,0.88,0.98
neodatis-odb.csv,0.75,0.56,0.9,0.76,0.56,0.91,0.8,0.76
nsis.csv,0.49,0.74,0.48,0.6,0.51,0.44,0.4,0.59
rodin-b-sharp.csv,0.94,0.0,0.98,0.8,0.78,0.75,0.67,0.69
