,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.05,1.0,0.65,0.24,0.49,0.12,0.3,0.08
aztec.csv,0.01,0.15,0.6,0.81,0.82,0.92,0.8,0.83
jbpm.csv,0.05,0.0,0.96,0.05,0.08,0.12,0.0,0.05
mediate.csv,0.19,0.41,0.21,0.08,0.92,0.29,0.0,0.29
mycila.csv,0.03,0.22,0.15,0.3,0.33,0.29,0.8,0.27
neodatis-odb.csv,0.05,0.22,0.31,1.0,0.59,0.25,0.0,0.28
nsis.csv,1.0,0.37,0.71,0.46,0.67,0.83,1.0,0.43
rodin-b-sharp.csv,0.35,0.0,0.15,0.03,0.31,0.21,0.1,0.94
