,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,683.5,292.5,97.5,95.5,784.5,98.5,368.5,196.0,84.5,2520.0,94.5,571.0,97.5,98.5,198.0
bibletime.csv,781.0,294.0,196.0,390.0,585.5,98.5,281.5,196.0,97.5,3807.0,97.5,99.0,97.5,98.5,99.0
boost.csv,96.5,279.0,95.5,390.0,482.5,98.5,169.0,97.5,97.5,3601.0,96.5,99.0,97.5,93.5,93.5
doomlegacy.csv,586.5,85.5,172.0,151.0,191.0,98.5,82.5,95.5,99.0,3152.5,98.5,99.0,97.5,92.5,187.0
gpac.csv,91.5,195.5,95.5,291.5,981.5,98.5,208.5,484.5,97.5,2416.5,98.5,99.0,97.5,98.5,97.5
kftpgrabber.csv,168.0,10.5,95.5,14.5,95.5,98.5,59.5,97.5,86.5,405.5,94.5,99.0,97.5,0.0,43.5
nativeclient.csv,293.0,190.5,269.5,289.5,877.0,98.5,281.5,95.5,97.5,3092.0,98.5,99.0,97.5,98.5,99.0
netatalk.csv,198.0,180.0,192.0,194.0,585.5,98.5,359.0,196.0,99.0,2326.0,98.5,99.0,97.5,98.5,99.0
open-ms.csv,96.5,85.5,95.5,93.5,681.0,98.5,278.5,194.0,99.0,1737.0,94.5,99.0,97.5,98.5,97.5
openmsx.csv,655.5,340.5,172.0,548.0,486.5,94.5,169.0,464.5,99.0,1014.0,98.5,198.0,188.0,98.5,99.0
rosegarden.csv,292.0,186.0,95.5,390.0,782.5,98.5,278.5,94.5,97.5,3156.5,97.5,99.0,97.5,98.5,99.0
rsyslog.csv,977.0,190.5,177.0,330.0,980.5,98.5,169.0,196.0,97.5,3158.5,98.5,99.0,97.5,98.5,99.0
sandiaportals.csv,99.0,380.5,97.5,390.0,195.0,98.5,268.0,97.5,95.5,3207.0,98.5,99.0,97.5,98.5,198.0
xmoto.csv,297.0,579.5,196.0,291.5,1079.0,98.5,380.5,97.5,96.5,1122.0,98.5,99.0,97.5,98.5,99.0
xqilla.csv,880.0,10.5,97.5,91.5,448.5,98.5,284.0,538.5,99.0,68.5,98.5,286.5,97.5,98.5,98.5
