,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.44,0.52,0.56,0.48,0.54,0.86,0.05,0.12,0.4,0.13,0.05,0.13,0.13,0.0,0.48,0.59
amygdala.csv,0.59,0.5,0.41,0.51,0.53,0.05,0.07,0.27,0.32,0.7,0.29,0.5,0.45,0.3,0.0,0.31,0.43
chrysalis.csv,0.42,0.33,0.45,0.22,0.37,0.13,0.41,0.72,0.51,0.47,0.65,0.51,0.46,0.84,0.0,0.53,0.17
cme.csv,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.02,0.11,1.0
hydrate.csv,0.26,0.21,0.59,0.0,0.45,0.0,0.07,0.5,0.12,0.13,0.63,0.26,0.2,0.26,0.72,0.66,0.78
ivef-sdk.csv,0.58,0.61,0.63,0.68,0.51,1.0,0.26,0.11,0.51,0.06,0.0,0.0,0.13,0.33,0.0,0.04,0.65
jmri.csv,0.44,0.31,0.67,0.2,0.18,0.62,0.47,0.6,0.4,0.28,0.53,0.42,0.17,0.05,0.0,0.28,0.3
jython.csv,0.68,0.47,0.29,0.52,0.32,0.58,0.13,0.83,0.21,0.34,0.51,0.51,0.2,0.38,0.0,0.48,0.18
kdenlive.csv,0.68,0.6,0.52,0.33,0.62,0.63,0.37,0.05,0.56,0.54,0.7,0.56,0.51,0.73,0.56,0.65,0.77
opentibia.csv,0.51,0.78,0.47,0.31,0.5,0.09,0.43,0.31,0.04,0.25,0.52,0.26,0.2,0.18,0.58,0.55,0.0
projectfactory.csv,0.1,0.1,0.46,0.04,0.55,0.07,0.39,0.86,0.65,0.43,0.71,0.32,0.47,0.13,0.0,0.69,0.71
runuomondains.csv,0.6,0.5,0.6,0.25,0.52,0.0,0.43,0.78,0.09,0.57,0.95,0.55,0.25,0.61,0.72,0.51,0.47
somap.csv,0.3,0.29,0.5,0.46,0.57,0.0,0.49,0.0,0.47,0.24,0.27,0.88,0.21,0.43,0.72,0.0,0.54
taverna.csv,0.28,0.26,0.15,0.2,0.68,0.09,0.38,0.37,0.44,0.36,0.43,0.26,0.52,0.37,0.45,0.11,0.0
tigermud.csv,0.41,0.5,0.48,0.5,0.51,0.01,0.07,0.22,0.18,0.46,0.42,0.64,0.62,0.68,0.56,0.52,0.0
x-ray-mule.csv,0.28,0.24,0.16,0.81,0.52,0.0,0.14,0.06,0.51,0.5,0.0,0.5,0.33,0.31,0.0,0.07,0.45
