,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.54,0.5,0.74,0.56,0.55,0.7,0.6,0.7,0.44,0.66,0.59,0.38,0.54,0.63,0.47,0.68,0.52
bwapi.csv,0.39,0.42,0.43,0.48,0.42,0.4,0.34,0.38,0.59,0.48,0.37,0.44,0.38,0.42,0.42,0.55,0.42
co-ode-owl-plugins.csv,0.46,0.48,0.64,0.69,0.39,0.66,0.75,0.94,0.46,0.45,0.78,0.51,0.55,0.46,0.56,0.46,0.68
firebreath.csv,0.54,0.46,0.62,0.66,0.46,0.64,0.37,0.47,0.52,0.51,0.38,0.49,0.47,0.51,0.56,0.72,0.48
frogatto.csv,0.4,0.5,0.46,0.5,0.4,0.4,0.36,0.44,0.44,0.45,0.39,0.45,0.43,0.45,0.49,0.46,0.49
gretl.csv,0.45,0.48,0.4,0.54,0.41,0.44,0.36,0.4,0.44,0.43,0.37,0.43,0.48,0.47,0.4,0.47,0.44
jasperreports.csv,0.94,0.92,0.67,0.96,0.91,0.94,0.59,0.93,0.92,0.84,0.5,0.93,0.88,0.96,0.92,0.83,0.92
konversation.csv,0.95,0.96,0.91,0.97,0.53,0.88,0.92,0.94,0.94,0.75,0.5,0.85,0.95,0.97,0.79,0.88,0.9
linuxsh.csv,0.65,0.9,0.68,0.64,0.43,0.68,0.38,0.69,0.4,0.6,0.55,0.59,0.63,0.56,0.54,0.68,0.59
moviesandbox.csv,0.58,0.66,0.59,0.72,0.48,0.66,0.0,0.83,0.63,0.57,0.95,0.71,0.68,0.62,0.62,0.75,0.93
ontomorphtab.csv,0.46,0.43,0.4,0.71,0.34,0.38,0.75,0.5,0.39,0.53,0.86,0.34,0.33,0.58,0.71,0.47,0.88
opengs.csv,0.88,0.47,0.64,0.8,0.41,0.78,0.0,0.83,0.64,0.61,0.86,0.45,0.65,0.6,0.69,0.92,0.67
scite-ru.csv,0.53,0.94,0.7,0.87,0.67,0.86,0.6,0.8,0.47,0.57,0.89,0.97,0.95,0.58,0.67,0.96,0.74
tokratan.csv,0.86,0.67,0.7,0.75,0.42,0.95,0.91,0.73,0.93,0.94,0.49,0.45,0.56,0.8,0.67,0.92,0.65
vrjuggler.csv,0.86,0.0,0.92,0.92,0.89,0.5,0.8,0.95,0.5,0.0,0.93,0.67,0.5,0.88,0.87,0.92,0.87
wxcode.csv,0.0,0.0,0.89,0.88,0.88,0.88,0.77,0.67,0.0,0.5,0.0,0.83,0.94,0.98,0.5,0.75,0.86
xuggle.csv,0.71,0.47,0.47,0.97,0.39,0.53,0.4,0.53,0.45,0.61,0.0,0.5,0.48,0.55,0.48,0.59,0.51
