,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.66,0.92,0.63,0.63,0.72,0.7,0.65,0.39,0.75,0.92,0.81,0.63,0.14,0.65,0.81,0.83,0.47
bwapi.csv,0.65,0.83,0.89,0.85,0.83,0.95,0.69,0.98,0.77,0.56,0.77,0.8,0.83,0.83,0.67,0.06,0.92
co-ode-owl-plugins.csv,0.56,0.91,0.46,0.53,0.64,0.66,0.81,0.06,0.5,0.92,0.92,0.55,0.69,1.0,0.56,1.0,0.29
firebreath.csv,0.56,0.91,0.63,0.46,0.52,0.08,0.8,1.03,0.68,0.67,0.92,0.96,0.93,0.87,0.57,0.84,0.7
frogatto.csv,0.42,0.53,0.66,0.53,0.57,0.62,0.74,0.77,0.6,0.5,0.68,0.64,0.72,0.76,0.03,0.95,0.43
gretl.csv,0.91,0.89,0.8,0.9,1.01,0.72,0.64,0.89,0.9,0.92,0.9,0.04,0.85,0.8,0.76,0.97,0.88
jasperreports.csv,0.68,0.93,0.92,0.91,0.93,0.92,0.79,1.01,0.89,0.82,0.94,0.97,0.93,0.0,0.89,0.96,0.87
konversation.csv,0.88,0.73,0.08,0.83,0.67,0.9,0.92,0.68,0.88,0.76,0.94,0.79,0.8,0.58,0.74,0.94,0.81
linuxsh.csv,0.85,0.09,0.59,0.75,0.81,0.75,0.87,0.83,0.63,0.64,0.53,0.86,0.66,0.5,0.73,0.7,0.94
moviesandbox.csv,0.56,0.47,0.4,0.51,0.04,0.7,0.95,0.49,0.66,0.44,0.79,0.74,0.78,0.75,0.56,0.62,0.73
ontomorphtab.csv,0.06,0.53,0.45,0.6,0.52,0.58,0.91,0.62,0.7,0.5,0.94,0.51,0.61,0.23,0.77,0.9,1.01
opengs.csv,0.91,0.78,0.53,0.62,0.5,0.8,0.95,0.95,0.02,0.65,0.88,0.59,0.73,0.59,0.68,0.93,0.45
scite-ru.csv,0.83,0.86,0.76,0.72,0.74,0.69,0.11,0.57,0.63,0.71,0.73,0.8,0.88,0.97,0.97,0.89,0.84
tokratan.csv,0.83,1.0,0.43,0.61,0.65,0.82,0.77,0.98,0.96,0.07,0.57,0.63,0.81,0.6,0.92,0.91,0.63
vrjuggler.csv,0.93,1.0,0.67,0.94,0.87,0.97,0.81,0.85,0.96,1.0,0.13,0.98,0.98,0.94,0.74,0.95,0.45
wxcode.csv,1.0,1.0,0.5,0.93,0.87,0.92,0.78,0.94,1.0,0.93,1.0,0.84,0.88,0.54,0.94,0.97,0.0
xuggle.csv,0.85,0.95,0.57,0.24,0.8,0.84,0.93,0.81,0.71,0.88,1.0,0.88,0.91,0.97,1.03,0.61,0.61
