,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.46,0.55,0.42,0.5,0.5,0.42,0.48,0.83,0.72,0.2,0.25,0.58,0.94,0.65,0.64,0.41,0.71
bwapi.csv,0.8,0.64,1.0,0.83,0.77,1.0,0.86,0.5,0.43,1.0,0.94,0.78,0.8,0.96,0.61,0.98,0.57
co-ode-owl-plugins.csv,0.51,1.0,0.58,0.7,0.89,0.4,0.19,0.94,0.8,0.73,0.12,0.51,0.56,0.96,0.44,0.98,0.86
firebreath.csv,0.51,1.0,0.5,0.67,0.64,0.92,0.86,0.28,0.52,0.6,0.94,0.77,0.95,0.85,0.5,0.21,1.0
frogatto.csv,0.69,0.64,0.92,0.78,0.7,0.77,0.86,0.39,0.59,0.8,0.75,0.77,0.57,1.0,0.97,0.35,0.86
gretl.csv,0.91,0.55,1.0,0.83,0.86,0.7,0.76,1.0,0.69,0.93,0.94,0.99,0.85,0.92,0.92,0.8,0.71
jasperreports.csv,0.34,0.09,0.08,0.09,0.09,0.08,0.33,0.0,0.11,0.2,0.06,0.06,0.07,1.0,0.14,0.04,0.14
konversation.csv,0.26,0.36,0.92,0.17,0.34,0.1,0.1,0.33,0.13,0.4,0.06,0.44,0.36,0.42,0.31,0.06,0.29
linuxsh.csv,0.54,0.91,0.75,0.5,0.75,0.33,0.71,0.28,0.67,0.8,0.81,0.56,0.45,0.92,0.56,0.44,0.29
moviesandbox.csv,0.46,0.73,0.75,0.52,0.98,0.42,0.05,0.56,0.39,0.67,0.25,0.35,0.38,0.62,0.5,0.5,0.29
ontomorphtab.csv,0.97,0.55,0.67,0.41,0.57,0.52,0.1,0.5,0.54,0.73,0.06,0.53,0.53,0.92,0.25,0.19,0.0
opengs.csv,0.11,0.27,0.5,0.39,0.57,0.22,0.05,0.06,0.98,0.4,0.12,0.42,0.28,0.46,0.33,0.07,0.57
scite-ru.csv,0.8,0.18,0.5,0.46,0.3,0.35,0.95,0.61,0.89,0.73,0.38,0.21,0.14,0.46,0.03,0.13,0.29
tokratan.csv,0.17,0.0,0.75,0.46,0.39,0.18,0.24,0.06,0.06,0.93,0.81,0.47,0.26,0.42,0.08,0.09,0.43
vrjuggler.csv,0.09,0.0,0.33,0.07,0.14,0.03,0.24,0.17,0.04,0.0,0.88,0.02,0.02,0.12,0.28,0.06,0.57
wxcode.csv,0.0,0.0,0.5,0.07,0.14,0.08,0.24,0.06,0.0,0.07,0.0,0.16,0.12,0.46,0.06,0.03,1.0
xuggle.csv,0.54,0.91,0.75,0.76,0.77,0.6,0.62,0.61,0.87,0.47,0.0,0.83,0.92,0.5,0.67,0.7,1.0
