,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.67,0.35,0.41,0.66,0.61,0.0,0.72,0.55,0.6,0.47,0.59,0.52,0.5,0.0,0.54,0.63,0.66
codepurge.csv,0.52,0.0,0.65,0.26,0.19,0.78,0.25,0.18,0.47,0.37,0.73,0.47,0.16,0.85,0.7,0.5,0.4
crisscross.csv,0.13,0.0,0.85,0.4,0.55,0.09,0.49,0.0,0.0,0.27,0.53,0.05,0.46,0.36,0.0,0.32,0.17
elvishrayrenderer.csv,0.46,0.1,0.28,0.37,0.46,0.78,0.25,0.37,0.5,0.73,0.2,0.38,0.63,0.0,0.71,0.27,0.4
gisgraphy.csv,0.26,0.0,0.17,0.18,0.01,0.0,0.27,0.43,0.18,0.49,0.58,0.54,0.36,0.0,0.21,0.54,0.77
ivataopenportal.csv,0.59,0.0,0.49,0.35,0.68,0.0,0.55,0.0,0.26,0.27,0.0,0.0,0.53,0.13,0.62,0.33,0.24
lite.csv,0.11,0.0,0.06,0.1,0.31,0.0,0.16,0.07,0.32,0.77,0.0,0.47,0.32,0.0,0.33,0.41,0.24
mb-unit.csv,0.13,0.0,0.56,0.66,0.05,0.47,0.5,0.0,0.53,0.58,0.25,0.64,0.6,0.0,0.0,0.54,0.23
nova.csv,0.54,0.77,0.59,0.55,0.48,0.56,0.51,0.0,0.29,0.43,0.41,0.55,0.45,0.6,0.42,0.57,0.39
olex2.csv,0.59,0.57,0.55,0.6,0.27,0.0,0.47,0.18,0.69,0.24,0.2,0.73,0.31,0.09,0.42,0.52,0.2
openwbem.csv,0.59,0.59,0.55,0.56,0.54,0.78,0.47,0.67,0.56,0.36,0.37,0.66,0.54,0.27,0.46,0.74,0.63
stajistics.csv,0.56,0.57,0.0,0.51,0.48,0.27,0.59,0.0,0.47,0.64,0.64,0.41,0.68,0.0,0.37,0.43,0.57
uwom.csv,0.58,0.0,0.17,0.51,0.39,0.54,0.48,0.0,0.36,0.57,0.05,0.02,0.66,0.69,0.37,0.83,0.65
xcmetadataservicestoolkit.csv,0.47,0.28,0.25,0.58,0.34,0.47,0.53,0.0,0.75,0.24,0.44,0.58,0.23,0.0,0.59,0.24,0.35
