,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.6,0.78,0.76,0.63,0.57,1.11,0.45,0.51,0.71,0.74,0.55,0.64,0.71,1.32,0.61,0.71,0.59
codepurge.csv,0.63,1.0,0.59,0.78,0.85,0.58,0.8,0.85,0.82,0.7,0.35,0.7,0.87,0.46,0.52,0.8,0.66
crisscross.csv,0.97,1.0,0.33,0.89,0.75,0.98,0.83,1.0,1.02,0.93,0.61,0.99,0.85,0.9,1.0,0.92,0.96
elvishrayrenderer.csv,0.75,0.92,0.8,0.7,0.64,0.59,0.82,0.68,0.66,0.58,0.86,0.75,0.45,1.13,0.4,0.93,0.91
gisgraphy.csv,0.79,1.01,0.87,0.87,0.99,1.02,0.78,0.62,0.94,0.83,0.66,0.74,0.82,1.13,0.84,0.57,0.31
ivataopenportal.csv,0.74,1.0,0.84,0.9,0.47,1.23,0.79,1.01,0.95,0.93,1.0,1.0,0.8,0.97,0.7,0.91,0.94
lite.csv,0.91,1.0,0.96,0.93,0.77,1.06,0.88,0.94,0.75,0.4,1.0,0.63,0.73,1.0,0.76,0.7,1.03
mb-unit.csv,0.97,1.0,0.77,0.55,0.99,0.85,0.82,1.04,0.81,0.72,0.81,0.54,0.73,1.0,1.0,0.79,0.98
nova.csv,0.78,0.34,0.71,0.75,0.75,0.8,0.66,1.07,0.76,0.7,0.88,0.77,0.72,0.77,0.9,0.62,0.77
olex2.csv,0.74,0.54,0.57,0.62,0.94,1.02,0.67,0.85,0.42,0.81,0.85,0.38,0.74,0.98,0.7,0.56,1.0
openwbem.csv,0.51,0.48,0.55,0.63,0.77,0.59,0.72,0.38,0.6,0.77,0.7,0.63,0.61,0.93,0.85,0.41,0.7
stajistics.csv,0.65,0.73,1.0,0.63,0.68,0.93,0.57,1.0,0.85,0.62,0.46,0.89,0.44,1.0,0.89,0.88,0.71
uwom.csv,0.74,1.0,0.86,0.71,0.7,0.81,0.64,1.04,0.93,0.76,0.96,0.99,0.62,0.69,0.89,0.29,0.47
xcmetadataservicestoolkit.csv,0.77,0.99,0.99,0.61,0.9,0.85,0.77,1.11,0.45,0.81,0.84,0.66,0.85,1.0,0.66,1.02,0.97
