,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.0,2.0,6.0,0.0,1.0,59.0,0.0,0.0,0.0,3.0,14.0,0.0,15.0,103.0,0.0,3.0,1.0
codepurge.csv,29.0,56.0,13.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,39.0,0.0,10.0,2.0
crisscross.csv,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,7.0,6.0,4.0,11.0,87.0,0.0,41.0,1.0
elvishrayrenderer.csv,0.0,0.0,20.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,25.0,1.0,0.0,103.0,1.0,13.0,7.0
gisgraphy.csv,0.0,56.0,6.0,1.0,0.0,59.0,2.0,0.0,0.0,4.0,26.0,3.0,18.0,103.0,0.0,44.0,2.0
ivataopenportal.csv,0.0,17.0,11.0,0.0,0.0,59.0,1.0,0.0,0.0,6.0,24.0,4.0,19.0,89.0,0.0,70.0,2.0
lite.csv,0.0,56.0,10.0,4.0,2.0,59.0,0.0,0.0,2.0,1.0,168.0,2.0,2.0,103.0,0.0,19.0,8.0
mb-unit.csv,0.0,56.0,28.0,0.0,0.0,11.0,1.0,0.0,0.0,6.0,15.0,0.0,5.0,92.0,0.0,13.0,1.0
nova.csv,0.0,3.0,17.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,21.0,5.0,10.0,68.0,0.0,35.0,0.0
olex2.csv,8.0,7.0,1.0,0.0,0.0,59.0,0.0,0.0,0.0,6.0,15.0,0.0,4.0,90.0,1.0,4.0,6.0
openwbem.csv,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,8.0,85.0,2.0,0.0,0.0
stajistics.csv,1.0,10.0,39.0,0.0,5.0,17.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,92.0,0.0,53.0,0.0
uwom.csv,0.0,56.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,3.0,7.0,3.0,6.0,61.0,0.0,4.0,0.0
xcmetadataservicestoolkit.csv,0.0,17.0,17.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,22.0,3.0,13.0,92.0,0.0,18.0,0.0
