,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.55,0.24,0.22,0.83,0.61,0.0,0.8,0.66,0.75,0.33,0.31,0.51,0.37,0.0,0.61,0.4,0.51
codepurge.csv,0.46,0.0,0.34,0.36,0.26,0.06,0.34,0.27,0.59,0.34,0.49,0.46,0.22,0.04,0.75,0.29,0.41
crisscross.csv,0.51,0.37,0.53,0.84,0.59,0.03,0.81,0.95,0.74,0.42,0.28,0.63,0.46,0.02,0.79,0.36,0.47
elvishrayrenderer.csv,0.38,0.14,0.2,0.48,0.5,0.05,0.33,0.49,0.58,0.51,0.14,0.39,0.58,0.0,0.76,0.15,0.3
gisgraphy.csv,0.3,0.0,0.15,0.26,0.02,0.0,0.36,0.55,0.23,0.44,0.25,0.51,0.27,0.0,0.28,0.4,0.69
ivataopenportal.csv,0.54,0.37,0.33,0.9,0.68,0.0,0.85,0.92,0.77,0.44,0.25,0.63,0.48,0.02,0.74,0.37,0.46
lite.csv,0.15,0.0,0.06,0.14,0.36,0.0,0.22,0.11,0.41,0.59,0.0,0.5,0.39,0.0,0.41,0.3,0.17
mb-unit.csv,0.52,0.0,0.29,0.78,0.68,0.04,0.86,0.83,0.82,0.39,0.2,0.61,0.48,0.02,0.79,0.36,0.39
nova.csv,0.48,0.59,0.3,0.74,0.48,0.04,0.61,0.76,0.38,0.33,0.23,0.55,0.35,0.02,0.62,0.36,0.31
olex2.csv,0.52,0.44,0.34,0.73,0.66,0.0,0.58,0.27,0.76,0.25,0.15,0.71,0.35,0.02,0.49,0.46,0.15
openwbem.csv,0.55,0.56,0.37,0.68,0.58,0.05,0.58,0.76,0.65,0.28,0.25,0.63,0.44,0.02,0.73,0.52,0.51
stajistics.csv,0.47,0.35,0.28,0.64,0.5,0.04,0.69,0.95,0.7,0.45,0.39,0.4,0.57,0.02,0.78,0.29,0.43
uwom.csv,0.5,0.0,0.19,0.66,0.44,0.04,0.57,0.82,0.66,0.42,0.06,0.03,0.49,0.03,0.77,0.62,0.56
xcmetadataservicestoolkit.csv,0.39,0.26,0.22,0.7,0.65,0.04,0.68,0.69,0.82,0.25,0.17,0.55,0.22,0.02,0.67,0.12,0.26
