,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.29,0.42,0.96,0.29,0.75
nabu-library.csv,0.52,0.49,0.48,0.44,0.98
pcgen.csv,0.31,0.94,0.13,0.54,0.45
selenium.csv,0.98,0.51,0.46,0.76,0.29
tolven.csv,0.16,0.35,0.23,0.88,0.09
