,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.95,0.75,0.75,0.48,0.86,0.92,0.8,0.53,0.75,0.5
arsenal-1.csv,0.46,0.53,0.56,0.58,0.51,0.68,0.55,0.56,0.55,0.78
barracudamvc.csv,0.37,0.29,0.36,0.33,0.4,0.44,0.36,0.36,0.39,0.44
irplus.csv,0.38,0.4,0.36,0.46,0.56,0.53,0.67,0.55,0.42,0.36
lite.csv,0.92,0.86,0.67,0.86,0.93,0.92,0.82,0.71,0.83,0.75
mumble.csv,0.44,0.36,0.56,0.47,0.61,0.62,0.53,0.42,0.89,0.5
ontopia.csv,0.95,0.41,0.62,0.37,0.4,0.36,0.44,0.89,0.62,0.39
openintents.csv,0.52,0.52,0.56,0.46,0.68,0.45,0.48,0.55,0.5,0.58
ta3d.csv,0.34,0.29,0.43,0.38,0.43,0.36,0.35,0.56,0.42,0.44
tweetsharp.csv,0.69,0.79,0.56,0.45,0.44,0.95,0.8,0.41,0.46,0.6
