,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.8,0.5,0.75,0.96,0.71,0.69,0.0,0.42,0.75,1.0
arsenal-1.csv,0.82,0.26,1.0,0.53,0.41,0.73,0.41,0.31,0.6,0.78
barracudamvc.csv,0.99,0.42,0.47,0.41,0.26,0.87,0.34,0.27,0.74,0.69
irplus.csv,0.83,0.43,0.48,0.54,0.38,0.77,1.0,0.32,0.82,0.68
lite.csv,0.83,0.57,0.67,0.71,0.29,0.75,0.64,1.0,0.67,0.75
mumble.csv,0.85,0.48,0.52,0.37,1.0,0.88,0.5,0.3,0.56,0.64
ontopia.csv,0.73,0.59,0.38,0.41,0.33,0.99,0.36,0.33,0.62,0.7
openintents.csv,0.83,1.0,0.5,0.46,0.38,0.85,0.59,0.35,0.64,0.69
ta3d.csv,0.84,0.4,0.5,0.47,0.29,0.84,0.39,0.3,0.79,1.0
tweetsharp.csv,0.83,0.43,0.44,0.39,0.24,0.85,0.4,0.3,1.0,0.72
