,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.09,0.11,1.0,0.2,0.12,0.0,0.53,0.07,0.06
arsenal-1.csv,0.44,0.22,0.93,0.45,0.8,0.21,0.36,0.33,0.29,0.2
barracudamvc.csv,1.0,0.96,1.0,0.95,0.92,0.71,0.88,1.0,1.0,0.94
irplus.csv,0.67,0.57,0.89,0.64,0.48,0.3,0.84,0.47,0.64,0.49
lite.csv,0.1,0.17,0.07,0.23,0.16,0.12,0.28,0.93,0.1,0.09
mumble.csv,0.45,0.7,0.48,0.5,0.92,0.39,0.8,0.67,0.12,0.26
ontopia.csv,0.15,0.74,0.44,0.77,0.88,1.0,0.64,0.2,0.43,0.66
openintents.csv,0.38,1.0,0.3,0.59,0.56,0.59,0.64,0.47,0.33,0.51
ta3d.csv,0.74,0.83,0.56,0.73,0.8,0.74,0.88,0.53,0.71,0.97
tweetsharp.csv,0.33,0.26,0.59,0.59,0.68,0.22,0.32,0.73,0.98,0.51
