,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.87,0.92,0.89,0.03,0.8,0.93,1.01,0.54,0.93,0.94
arsenal-1.csv,0.75,0.89,0.07,0.62,0.49,0.9,0.7,0.72,0.89,0.81
barracudamvc.csv,0.05,0.91,1.0,0.97,1.0,0.64,0.96,1.0,1.0,0.94
irplus.csv,0.78,0.67,0.85,0.53,0.6,0.86,0.16,0.65,0.54,0.72
lite.csv,0.91,0.83,0.93,0.78,0.85,0.91,0.73,0.07,0.91,0.92
mumble.csv,0.68,0.6,0.65,0.79,0.08,0.67,0.5,0.65,0.92,0.81
ontopia.csv,0.9,0.45,0.85,0.81,0.7,0.07,0.75,0.81,0.93,0.71
openintents.csv,0.74,0.0,0.75,0.63,0.56,0.7,0.44,0.62,0.85,0.7
ta3d.csv,0.79,0.9,0.66,0.64,0.78,0.83,0.8,0.66,0.61,0.03
tweetsharp.csv,0.75,0.78,0.76,0.76,0.9,0.81,0.73,0.69,0.02,0.65
