,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.56,0.29,0.61,0.27,0.68,0.4,0.93,0.6,0.45,0.48
gamestone.csv,0.25,0.9,0.34,0.07,0.33,0.1,0.38,0.28,0.27,0.15
gbif-providertoolkit.csv,0.4,0.0,0.11,0.07,0.88,0.12,0.13,0.28,0.18,0.05
heekscad.csv,0.98,0.63,0.68,0.62,0.69,0.24,0.28,0.61,0.68,0.56
igarden.csv,0.25,0.0,0.19,1.0,0.17,0.19,0.0,0.0,0.27,0.2
levent.csv,0.71,0.74,0.69,0.64,0.65,0.99,0.55,0.52,0.49,0.57
owlapi.csv,0.16,0.0,0.13,0.27,0.48,0.15,0.13,0.97,0.35,0.1
pnotepad.csv,0.65,0.69,0.58,0.3,0.39,0.48,0.67,0.55,0.3,0.98
quark.csv,0.01,0.0,0.05,0.0,0.17,0.0,0.0,0.0,1.0,0.0
xcsoar.csv,0.6,0.28,0.97,0.48,0.75,0.47,0.56,0.55,0.77,0.42
