,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.37,0.78,0.39,0.21,0.26,0.26,0.55,0.52,0.15,0.41,0.11,0.67,0.71,0.52
customwars.csv,0.38,0.85,0.59,0.23,0.43,0.14,0.49,0.47,0.22,0.41,0.23,0.59,0.61,0.63
firebreath.csv,0.29,0.84,0.5,0.16,0.27,0.33,0.54,0.4,0.19,0.38,0.22,0.52,0.68,0.66
gss.csv,0.31,0.76,0.42,0.18,0.26,0.25,0.46,0.49,0.15,0.36,0.11,0.62,0.54,0.83
irplus.csv,0.43,0.83,0.44,0.27,0.41,0.21,0.43,0.54,0.21,0.5,0.26,0.59,0.66,1.0
kwave.csv,0.3,0.73,0.33,0.17,0.23,0.32,0.49,0.36,0.16,0.41,0.08,0.62,0.55,0.58
liferea.csv,0.34,0.83,0.57,0.22,0.41,0.16,0.49,0.42,0.18,0.45,0.17,0.63,0.54,0.62
plearn.csv,0.49,0.77,0.43,0.19,0.38,0.0,0.44,0.32,0.09,0.39,0.11,0.62,0.5,0.5
psrchive.csv,0.37,0.76,0.53,0.42,0.25,0.17,0.45,0.42,0.22,0.5,0.24,0.58,0.62,0.67
qcad2.csv,0.33,0.78,0.61,0.21,0.24,0.29,0.49,0.54,0.18,0.33,0.21,0.6,0.63,0.68
tzod.csv,0.43,0.81,0.55,0.2,0.38,0.3,0.46,0.43,0.1,0.58,0.29,0.61,0.54,0.92
wxcode.csv,0.43,0.83,1.0,0.28,0.33,0.14,0.55,0.62,0.28,0.59,0.33,0.58,0.62,0.9
xinity.csv,0.22,0.62,0.31,0.03,0.23,0.29,0.37,0.2,0.13,0.33,0.06,0.79,0.42,0.56
xmoto.csv,0.41,0.79,0.41,0.23,0.22,0.0,0.39,0.47,0.19,0.43,0.1,0.56,0.68,0.86
