,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.86,0.93,0.94,0.97,1.0,0.13,1.0,1.0,0.83,0.99
fityk.csv,0.5,0.89,0.85,0.53,0.63,0.8,0.77,0.42,0.6,0.63
freenet.csv,0.7,0.66,0.49,0.83,0.93,0.69,0.63,0.89,0.64,0.76
geogebra.csv,0.58,0.64,0.69,0.62,0.48,0.84,0.51,0.71,0.6,0.44
hibernate.csv,0.79,0.78,0.58,0.66,0.65,0.41,0.48,0.62,0.52,0.51
itext.csv,0.46,1.0,0.88,0.61,0.36,0.99,0.97,0.74,0.95,0.77
k3b.csv,0.52,0.85,0.71,0.43,0.42,0.75,0.88,0.76,0.68,0.88
lamp.csv,0.49,0.61,0.6,0.96,0.61,0.84,0.48,0.62,0.59,0.9
megameknet.csv,0.6,0.72,0.55,0.68,0.62,1.06,0.45,0.63,0.62,0.73
thout.csv,0.74,0.42,0.79,0.89,1.0,0.69,0.88,0.91,0.74,0.87
