,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.1,0.5,0.6,0.5,0.0,0.24,0.0,0.0,0.32,0.1
fityk.csv,0.16,0.21,0.66,0.9,0.6,0.03,0.25,0.82,0.35,0.27
freenet.csv,0.1,0.27,0.77,0.68,0.55,0.05,0.29,0.65,0.34,0.25
geogebra.csv,0.15,0.57,0.69,0.81,0.68,0.03,0.52,0.7,0.37,0.45
hibernate.csv,0.25,0.25,0.82,0.73,0.86,0.08,0.35,0.72,0.45,0.35
itext.csv,0.18,0.23,0.66,0.76,0.8,0.04,0.23,0.7,0.29,0.25
k3b.csv,0.16,0.22,0.7,0.86,0.76,0.05,0.24,0.69,0.34,0.23
lamp.csv,0.21,0.36,0.72,0.71,0.63,0.03,0.35,0.72,0.36,0.23
megameknet.csv,0.2,0.26,0.74,0.72,0.62,0.0,0.42,0.72,0.35,0.24
thout.csv,0.09,0.47,0.69,0.64,0.53,0.04,0.22,0.63,0.27,0.23
