,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,60.0,0.0,5.0,19.0,7.0,51.0,0.0,0.0,2.0,124.0,1.0,1.0,63.0,0.0
calcubetimer.csv,10.0,0.0,11.0,43.0,2.0,9.0,0.0,1.0,0.0,53.0,0.0,2.0,0.0,0.0
chaosrts.csv,9.0,1.0,5.0,40.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0
chaperon.csv,8.0,78.0,5.0,105.0,0.0,0.0,0.0,147.0,56.0,3.0,0.0,0.0,1.0,0.0
dxengine.csv,3.0,5.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0
emono.csv,3.0,0.0,6.0,14.0,0.0,8.0,0.0,3.0,0.0,4.0,2.0,2.0,3.0,0.0
factor.csv,60.0,78.0,77.0,3.0,67.0,51.0,0.0,147.0,56.0,124.0,66.0,0.0,0.0,0.0
jas.csv,3.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,157.0,2.0,0.0
jmoney.csv,0.0,0.0,1.0,5.0,67.0,51.0,0.0,0.0,1.0,124.0,0.0,1.0,2.0,0.0
jmonkeyengine.csv,3.0,11.0,1.0,0.0,0.0,51.0,0.0,2.0,0.0,46.0,2.0,1.0,0.0,0.0
matrex.csv,4.0,4.0,2.0,8.0,0.0,2.0,0.0,0.0,4.0,124.0,66.0,0.0,0.0,1.0
primefaces.csv,11.0,13.0,5.0,29.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0
roolo.csv,2.0,3.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,121.0
sblim.csv,4.0,78.0,1.0,0.0,1.0,51.0,0.0,8.0,56.0,124.0,1.0,1.0,0.0,1.0
