,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,1.0,0.12,0.97,0.98,0.9,1.03,0.9,0.81,0.86,1.0,0.69,0.84,1.01,0.95
calcubetimer.csv,0.76,0.79,1.0,0.81,0.9,0.69,0.0,0.84,0.9,0.85,0.72,0.9,0.65,1.0
chaosrts.csv,0.74,0.73,0.98,0.86,0.82,0.62,0.58,0.68,0.84,0.76,0.74,0.01,0.99,0.98
chaperon.csv,0.88,1.0,0.83,1.0,0.73,0.0,0.79,1.0,1.02,0.89,0.93,0.92,0.96,0.89
dxengine.csv,0.76,0.95,0.0,0.65,0.73,0.5,0.79,0.87,0.48,0.66,0.88,0.81,0.74,0.73
emono.csv,0.55,0.76,0.88,0.93,0.85,0.77,0.54,0.85,0.77,0.88,0.77,0.77,0.96,0.02
factor.csv,1.0,1.0,1.0,0.87,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.98,0.02,0.95
jas.csv,0.92,0.94,0.96,0.79,0.89,0.75,0.75,0.94,0.75,0.0,0.91,1.0,0.97,0.72
jmoney.csv,0.05,0.81,0.89,0.91,1.02,1.0,0.8,0.71,0.91,1.0,0.97,0.81,0.92,0.95
jmonkeyengine.csv,0.9,0.97,0.83,0.59,0.06,1.03,0.84,0.79,0.61,1.0,0.93,0.76,0.61,0.84
matrex.csv,0.47,0.89,0.88,0.96,0.73,0.75,0.86,0.01,0.96,1.0,1.01,0.78,0.91,0.94
primefaces.csv,0.74,0.81,1.0,0.74,0.65,0.8,0.79,0.72,0.8,0.7,0.04,0.53,0.87,0.92
roolo.csv,0.7,0.88,0.96,0.77,0.84,0.76,0.93,0.85,0.1,0.91,0.79,0.88,0.86,1.0
sblim.csv,0.95,1.0,0.96,0.0,0.89,1.0,0.98,0.95,1.01,1.0,0.91,0.95,0.51,0.99
