,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.47,0.43,0.38,0.32,0.44,0.47,0.63,0.84,0.47,0.5,0.47,0.63,0.47
cuberok.csv,0.55,0.64,0.48,0.8,0.6,0.65,0.58,0.83,0.39,0.48,0.53,0.5,0.5
exist.csv,0.34,0.45,0.42,0.3,0.38,0.45,0.37,0.41,0.42,0.33,0.43,0.45,0.4
google-web-toolkit.csv,0.33,0.46,0.5,0.92,0.52,0.53,0.49,0.62,0.45,0.5,0.46,0.84,0.5
gwanted.csv,0.5,0.65,0.45,0.33,0.36,0.63,0.59,0.7,0.7,0.7,0.4,0.61,0.35
ivatamasks.csv,0.32,0.36,0.33,0.42,0.37,0.39,0.37,0.4,0.35,0.34,0.41,0.4,0.39
ivataopenportal.csv,0.37,0.46,0.4,0.32,0.37,0.55,0.38,0.41,0.34,0.34,0.38,0.4,0.45
jaxen.csv,0.37,0.71,0.79,0.39,0.4,0.47,0.49,0.47,0.46,0.54,0.49,0.46,0.67
rockbox.csv,0.48,0.59,0.71,0.38,0.39,0.94,0.51,0.47,0.48,0.4,0.43,0.62,0.33
rodin-b-sharp.csv,0.61,0.81,0.0,0.36,0.65,0.97,0.68,0.56,0.69,0.78,0.73,0.6,0.88
tcl.csv,0.48,0.46,0.88,0.48,0.48,0.43,0.53,0.5,0.98,0.67,0.99,0.84,0.84
umber.csv,0.59,0.4,0.44,0.37,0.42,0.42,0.4,0.46,0.36,0.36,0.4,0.43,0.45
wheat.csv,0.44,0.63,0.64,0.0,0.4,0.49,0.57,0.75,0.35,0.46,0.56,0.61,0.44
