,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.98,1.0,1.0,1.0,0.94,1.0,1.0,0.97,1.0,1.0,0.97,0.88,1.0,0.02
columba.csv,0.5,0.54,0.64,0.63,0.74,0.48,0.65,0.72,0.61,0.69,0.44,0.65,0.37,0.65
encog-cs.csv,1.0,1.0,0.99,0.48,0.67,0.6,0.97,1.01,0.98,0.99,0.97,0.96,1.0,0.9
fido.csv,0.9,1.0,1.0,1.0,0.94,1.0,0.12,0.96,1.0,0.77,0.86,1.0,0.67,1.0
flexpay.csv,0.74,0.83,0.83,0.79,0.62,0.89,0.62,0.77,0.71,0.66,0.67,0.69,0.48,0.62
fluent-nhibernate.csv,0.43,0.77,0.58,0.7,0.6,0.68,0.78,0.85,0.81,0.2,0.63,0.87,0.61,1.0
geochat.csv,0.85,1.0,0.71,0.94,0.72,0.76,0.85,0.76,0.61,0.64,0.76,0.58,0.81,0.37
gpsmid.csv,0.33,0.88,0.92,0.9,0.63,0.78,0.72,0.71,0.49,0.38,0.6,0.99,0.39,0.56
k3d.csv,0.88,0.94,0.21,0.92,0.92,0.77,1.0,0.89,1.02,0.94,0.89,0.8,0.71,1.0
m-a-d-n-e-s-s.csv,0.76,0.97,0.84,0.77,0.73,0.33,1.01,0.73,0.81,0.44,0.66,0.8,0.83,0.85
mob-sen-plat.csv,0.77,0.25,0.71,0.93,0.79,0.74,0.92,0.76,0.62,0.63,0.75,0.71,0.61,0.9
ninject.csv,0.55,0.77,0.65,0.79,0.7,0.79,0.58,0.56,0.18,0.66,0.76,0.72,0.61,0.89
uface.csv,0.71,0.68,0.86,0.58,0.84,0.95,0.81,0.93,0.69,0.82,0.54,0.98,0.08,0.94
v8.csv,0.8,0.9,0.71,0.83,0.76,0.82,0.71,0.23,0.94,0.62,0.78,0.72,0.8,1.04
