,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.61,0.04,0.53,0.0,0.14,0.09,0.17,0.23,0.38,0.8,0.35,0.0,0.16
apolloplayer.csv,0.24,0.75,0.35,1.0,0.69,0.39,0.6,0.77,0.83,0.4,0.42,0.6,0.6
auber.csv,0.45,0.88,0.24,1.0,0.94,0.85,0.7,0.53,0.7,0.92,0.74,1.0,0.79
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.71,0.8,1.0
k3d.csv,0.45,0.08,0.24,0.0,0.49,0.11,0.83,0.42,0.7,0.64,0.16,0.2,0.37
nug.csv,0.63,0.54,0.82,1.0,0.69,0.14,0.77,0.7,0.95,0.24,0.42,0.0,0.57
owlapi.csv,0.61,0.17,0.41,1.0,0.4,0.37,0.43,0.16,0.72,0.8,0.39,0.0,0.37
ppcboot.csv,1.0,0.83,1.0,1.0,1.0,0.96,0.93,0.47,0.58,1.0,1.0,1.0,1.0
red5.csv,0.87,0.54,1.0,1.0,0.74,0.45,0.97,0.74,0.91,0.92,0.84,1.0,0.9
redshell.csv,0.21,0.33,0.29,0.0,0.66,0.76,0.8,0.4,0.86,0.6,0.53,0.4,0.4
utgb.csv,0.39,0.42,0.06,0.0,0.66,0.25,0.27,0.23,0.19,0.12,0.37,0.4,0.31
xreal.csv,0.08,0.17,0.0,0.0,0.46,0.23,0.37,0.47,0.18,0.08,0.19,1.0,0.01
