,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.36,0.06,0.4,0.0,0.22,0.17,0.16,0.35,0.44,0.3,0.5,0.0,0.24
apolloplayer.csv,0.16,0.6,0.4,0.01,0.61,0.55,0.34,0.65,0.67,0.26,0.55,0.06,0.67
auber.csv,0.24,0.36,0.19,0.0,0.67,0.9,0.23,0.53,0.65,0.26,0.75,0.05,0.8
irrlicht.csv,0.24,0.38,0.49,0.0,0.69,0.98,0.25,0.75,0.69,0.28,0.76,0.06,0.71
k3d.csv,0.18,0.14,0.35,0.0,0.5,0.2,0.59,0.51,0.62,0.23,0.26,0.04,0.48
nug.csv,0.23,0.32,0.72,0.01,0.62,0.25,0.28,0.65,0.67,0.16,0.54,0.0,0.51
owlapi.csv,0.27,0.17,0.41,0.04,0.54,0.54,0.16,0.28,0.64,0.48,0.52,0.0,0.4
ppcboot.csv,0.24,0.37,0.49,0.0,0.69,0.96,0.26,0.54,0.65,0.28,0.87,0.05,0.71
red5.csv,0.24,0.41,0.55,0.02,0.66,0.61,0.26,0.74,0.68,0.35,0.81,0.06,0.69
redshell.csv,0.13,0.28,0.27,0.0,0.58,0.86,0.24,0.44,0.67,0.2,0.63,0.05,0.51
utgb.csv,0.28,0.36,0.09,0.0,0.71,0.4,0.21,0.36,0.27,0.11,0.5,0.09,0.44
xreal.csv,0.08,0.12,0.0,0.0,0.49,0.37,0.18,0.5,0.26,0.05,0.3,0.77,0.03
