,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.21,0.93,0.96,0.75,0.4,0.59,0.38,0.59,0.75,0.72,0.73,0.0,0.86,0.7,0.87,0.84,0.84,0.71,0.0
fityk.csv,1.0,0.9,0.83,1.0,0.69,0.73,0.9,0.59,0.69,0.52,0.55,1.0,0.66,0.8,0.8,0.68,0.45,0.49,1.0
ivataopenportal.csv,0.89,0.83,0.78,0.81,0.9,0.75,0.83,0.81,0.88,0.83,1.0,0.0,1.0,0.78,1.0,0.7,0.84,0.94,1.0
lcfizvtop.csv,0.68,0.33,0.28,0.69,0.39,0.25,0.43,0.61,0.75,0.42,0.91,0.0,0.71,0.35,0.73,0.57,0.52,0.94,1.0
lite.csv,0.05,0.17,0.69,0.31,0.16,0.39,0.07,0.53,0.44,0.44,0.45,1.0,0.06,0.3,0.73,0.41,0.09,0.34,0.0
onotoa.csv,0.32,0.9,0.72,0.56,0.75,0.64,0.6,0.65,0.31,0.41,0.45,1.0,0.94,0.48,0.53,0.7,0.27,0.4,0.0
openwbem.csv,0.95,0.56,0.78,0.88,0.84,0.69,0.67,0.76,0.56,0.82,0.27,1.0,0.54,0.57,0.33,0.84,0.39,0.69,1.0
orc.csv,0.05,0.5,0.5,0.94,0.11,0.44,0.69,0.34,0.38,0.3,0.64,0.0,0.0,0.8,0.53,0.32,0.08,0.2,0.0
plato.csv,1.0,1.0,0.99,0.94,1.0,0.99,0.76,0.96,1.0,0.96,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0
rodin-b-sharp.csv,0.53,0.02,0.33,0.44,0.12,0.09,0.6,0.23,0.19,0.83,0.55,0.0,0.0,0.3,0.0,0.02,0.53,0.2,0.0
ta3d.csv,0.89,0.15,0.17,0.38,0.43,0.41,0.31,0.3,0.12,0.32,0.09,0.0,0.03,0.3,0.2,0.11,0.25,0.6,1.0
tycho.csv,0.21,0.62,0.54,0.5,0.43,0.78,0.43,0.73,0.19,0.48,0.36,1.0,0.74,0.6,0.6,0.41,0.31,0.51,1.0
umber.csv,0.79,0.75,0.73,1.0,0.6,0.5,1.0,0.72,0.88,0.97,0.82,1.0,0.11,0.78,0.53,0.82,0.98,0.8,0.0
vienna-add-in.csv,0.74,0.48,0.56,0.56,0.75,0.66,0.45,0.73,0.31,0.31,0.09,1.0,0.8,0.72,0.67,0.59,0.22,0.74,0.0
wpdev.csv,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.97,1.0
xcmetadataservicestoolkit.csv,0.89,0.43,0.98,0.31,0.54,0.68,0.26,0.57,0.31,0.66,0.18,1.0,0.09,0.82,0.2,0.57,0.31,1.0,1.0
yarp0.csv,0.89,0.63,0.54,0.81,0.46,0.31,0.67,0.43,0.62,0.88,0.91,0.0,0.03,0.75,0.67,0.52,0.86,0.63,0.0
