,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.45,0.83,0.26,0.93,0.37,0.49,0.63,0.5,0.5,0.63
cities3d.csv,0.44,0.13,0.55,0.47,0.37,0.91,0.44,0.43,0.36,0.45
firebird.csv,0.29,0.68,0.94,0.62,0.51,0.67,0.5,0.55,0.67,0.6
hydrogen.csv,0.38,0.55,0.35,0.28,0.19,0.66,1.0,0.24,0.17,0.2
lphant.csv,0.6,0.58,0.49,0.56,0.62,0.65,0.65,0.44,0.96,0.52
open-ms.csv,0.36,0.24,0.56,0.49,0.36,0.46,0.4,0.12,0.35,0.93
qgo.csv,0.68,1.0,0.58,0.52,0.41,0.34,0.43,0.34,0.67,0.61
rhex.csv,0.93,0.68,0.35,0.56,0.29,0.4,0.29,0.24,0.27,0.26
xined.csv,0.38,0.34,0.29,0.44,0.28,0.51,0.65,1.0,0.45,0.39
yield.csv,0.67,0.81,0.59,0.64,0.98,0.54,0.67,0.68,0.63,0.68
