,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.85,0.43,0.93,0.01,0.84,0.8,0.3,0.51,0.79,0.64
cities3d.csv,0.46,0.97,0.71,0.77,0.82,0.0,0.86,0.37,0.24,0.41
firebird.csv,0.23,0.46,0.04,0.34,0.34,0.42,0.48,0.7,0.64,0.53
hydrogen.csv,0.12,0.03,0.12,0.1,0.09,0.14,0.0,0.07,0.0,0.09
lphant.csv,0.27,0.4,0.4,0.34,0.26,0.45,0.18,0.3,0.0,0.35
open-ms.csv,0.46,0.94,0.73,0.77,0.47,0.36,0.47,0.16,0.42,0.0
qgo.csv,0.3,0.0,0.34,0.25,0.21,0.51,0.06,0.33,0.55,0.41
rhex.csv,0.0,0.4,0.26,0.59,0.09,0.13,0.04,0.09,0.15,0.05
xined.csv,0.14,0.26,0.16,0.33,0.18,0.11,0.48,0.0,0.21,0.18
yield.csv,0.52,0.43,0.59,0.58,0.03,0.8,0.54,0.65,0.64,0.64
