,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.24,0.77,0.61,0.95,0.45,0.15,0.36,0.27,0.52,0.36
cities3d.csv,0.19,0.58,0.59,0.42,0.42,0.94,0.26,0.27,0.38,0.27
firebird.csv,0.18,0.65,0.95,0.55,0.52,0.23,0.22,0.3,0.61,0.34
hydrogen.csv,0.31,0.65,0.42,0.35,0.25,0.39,1.0,0.27,0.24,0.22
lphant.csv,0.34,0.56,0.51,0.51,0.64,0.21,0.45,0.3,0.98,0.35
open-ms.csv,0.15,0.65,0.63,0.44,0.36,0.16,0.17,0.11,0.33,0.95
qgo.csv,0.36,1.0,0.6,0.5,0.46,0.1,0.43,0.22,0.6,0.38
rhex.csv,0.96,0.65,0.4,0.46,0.38,0.26,0.33,0.25,0.31,0.31
xined.csv,0.3,0.37,0.36,0.4,0.33,0.35,0.29,1.0,0.47,0.33
yield.csv,0.29,0.75,0.6,0.53,0.98,0.18,0.29,0.38,0.57,0.4
