,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.86,0.43,0.95,0.08,0.95,0.83,0.48,0.72,0.82,0.68
cities3d.csv,0.74,0.98,0.77,0.85,0.96,0.11,0.86,0.71,0.72,0.72
firebird.csv,0.79,0.53,0.07,0.52,0.62,0.51,0.69,0.76,0.65,0.64
hydrogen.csv,0.68,0.5,0.71,0.76,0.85,0.4,0.0,0.8,0.86,0.84
lphant.csv,0.5,0.59,0.67,0.57,0.48,0.56,0.42,0.67,0.05,0.61
open-ms.csv,0.81,0.94,0.76,0.84,0.82,0.67,0.78,0.91,0.8,0.09
qgo.csv,0.45,0.0,0.56,0.57,0.67,0.84,0.63,0.77,0.59,0.57
rhex.csv,0.08,0.5,0.73,0.71,0.75,0.66,0.75,0.81,0.79,0.78
xined.csv,0.68,0.75,0.77,0.68,0.78,0.55,0.57,0.0,0.63,0.69
yield.csv,0.58,0.44,0.68,0.64,0.03,0.8,0.6,0.66,0.68,0.65
