,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.45,0.47,0.43,0.64,0.58,0.4,0.68,0.56,0.42,0.48
cities3d.csv,0.83,0.4,0.55,0.56,0.64,0.97,0.58,0.9,0.93,0.83
firebird.csv,0.77,0.47,0.49,0.5,0.6,0.47,0.66,0.38,0.38,0.55
hydrogen.csv,0.71,0.56,0.63,0.8,0.88,0.76,0.81,0.8,0.67,0.98
lphant.csv,0.48,0.45,0.41,0.46,0.46,0.53,0.5,0.41,0.52,0.48
open-ms.csv,0.76,0.38,0.49,0.53,0.85,0.77,0.89,0.88,0.81,0.91
qgo.csv,0.47,0.43,0.4,0.53,0.59,0.42,0.92,0.53,0.34,0.5
rhex.csv,0.91,0.4,0.67,0.53,0.82,0.98,0.88,0.83,0.9,0.97
xined.csv,0.93,0.78,0.86,0.73,0.96,0.98,0.76,0.9,0.56,0.72
yield.csv,0.47,0.33,0.35,0.46,0.52,0.34,0.53,0.38,0.34,0.42
