,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.52,0.13,0.22,0.43,0.52,0.24,0.4,0.63,0.71,0.49,0.42,0.28,0.51,0.65,0.61,0.52,0.67,0.61,0.58,0.24
clamav.csv,0.67,0.54,0.69,0.59,0.73,0.49,0.64,0.44,0.76,0.7,0.4,0.64,0.28,0.38,0.46,0.64,0.79,0.64,0.48,0.39
customsagetv.csv,0.27,0.17,0.17,0.32,0.54,0.18,0.39,0.11,0.35,0.33,0.22,0.19,0.18,0.05,0.31,0.9,0.06,0.38,0.42,0.47
gss.csv,0.27,0.66,0.68,0.59,0.71,0.33,0.68,0.6,0.75,0.62,0.44,0.54,0.61,0.48,0.59,0.41,0.76,0.54,0.75,0.43
guineu.csv,0.61,0.47,0.48,0.52,0.57,0.62,0.58,0.55,0.27,0.39,0.51,0.28,0.24,0.62,0.44,0.87,0.0,0.94,0.46,0.37
inkscape.csv,0.57,0.67,0.0,0.0,0.54,0.06,0.7,0.47,0.47,0.63,0.23,0.0,0.24,0.2,0.24,0.48,0.45,0.48,0.2,0.56
mpqc.csv,0.22,0.12,0.0,0.0,0.35,0.7,0.24,0.37,0.25,0.32,0.51,0.29,0.33,0.39,0.26,0.44,0.12,0.37,0.26,0.33
nsis.csv,0.5,0.41,0.66,0.3,0.39,0.59,0.36,0.38,0.57,0.54,0.74,0.73,0.47,0.53,0.47,0.75,0.18,0.41,0.54,0.52
octave.csv,0.54,0.57,0.28,0.45,0.59,0.29,0.42,0.42,0.26,0.49,0.25,0.49,0.47,0.3,0.44,0.05,0.24,0.67,0.46,0.37
owfs.csv,0.13,0.37,0.0,0.57,0.57,0.5,0.32,0.4,0.0,0.17,0.43,0.0,0.13,0.37,0.56,0.15,0.34,0.21,0.65,0.53
owlib.csv,0.68,0.69,0.55,0.65,0.66,0.39,0.58,0.6,0.63,0.58,0.41,0.6,0.4,0.57,0.31,0.64,0.76,0.37,0.52,0.62
pamguard.csv,0.47,0.49,0.0,0.41,0.61,0.53,0.48,0.59,0.75,0.44,0.54,0.67,0.52,0.6,0.68,0.24,0.47,0.0,0.56,0.53
papertoolkit.csv,0.51,0.26,0.09,0.21,0.31,0.38,0.44,0.34,0.42,0.42,0.27,0.56,0.18,0.2,0.2,0.34,0.24,0.97,0.34,0.42
prelude.csv,0.13,0.09,0.79,0.47,0.4,0.39,0.49,0.17,0.57,0.56,0.0,0.65,0.55,0.2,0.13,0.48,0.24,0.6,0.45,0.17
pustefix.csv,0.61,0.5,0.17,0.48,0.49,0.46,0.55,0.51,0.57,0.24,0.1,0.33,0.18,0.59,0.48,0.5,0.54,0.69,0.54,0.49
robocode.csv,0.69,0.61,0.02,0.59,0.65,0.48,0.76,0.71,0.59,0.61,0.39,0.45,0.49,0.51,0.52,0.58,0.44,0.84,0.5,0.52
scenemonitor.csv,0.62,0.25,0.36,0.6,0.31,0.42,0.5,0.59,0.59,0.45,0.2,0.37,0.76,0.46,0.35,0.12,0.61,0.36,0.42,0.45
tango-cs.csv,0.53,0.5,0.12,0.4,0.4,0.32,0.7,0.6,0.58,0.62,0.25,0.58,0.56,0.3,0.46,0.23,0.45,0.35,0.43,0.57
uwom-server.csv,0.18,0.21,0.0,0.0,0.49,0.38,0.46,0.43,0.42,0.62,0.32,0.58,0.18,0.05,0.23,0.39,0.4,0.38,0.43,0.56
zengine.csv,0.0,0.0,0.74,0.28,0.05,0.17,0.0,0.0,0.27,0.17,0.45,0.88,0.13,0.09,0.0,0.27,0.3,0.13,0.0,0.0
