,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.64,0.95,0.36,0.78,0.9,0.65,0.67,0.74,0.63,0.65,0.31,0.77,0.71,0.79
baadengine.csv,0.29,0.87,0.83,0.72,1.0,0.72,0.97,0.73,0.92,0.69,0.97,0.99,0.8,0.6
bnetd.csv,0.79,0.75,0.71,0.69,0.67,1.0,0.33,0.73,0.8,0.53,0.97,0.83,0.58,0.87
impala.csv,0.94,0.79,0.38,0.79,0.84,0.96,0.73,0.91,0.9,0.81,0.85,0.53,0.46,0.82
jaxen.csv,0.97,0.53,0.73,0.9,0.76,0.1,0.68,0.8,0.76,0.79,0.93,0.8,0.69,0.83
jgameai.csv,1.0,0.98,1.0,0.55,0.95,1.0,0.81,0.92,0.7,1.03,0.96,0.92,1.02,1.0
jparsec.csv,0.59,1.07,0.46,0.75,0.93,0.61,0.79,0.59,0.86,0.75,0.96,0.87,0.82,0.39
motu.csv,0.81,1.03,0.8,0.86,0.97,0.98,0.55,0.88,0.89,0.45,0.81,0.77,0.57,0.92
vars-redux.csv,0.99,1.02,0.46,0.89,0.86,0.5,0.52,0.42,0.74,0.61,0.72,0.84,0.7,0.62
werx.csv,0.99,0.04,1.0,0.98,1.0,0.83,0.89,0.91,1.0,0.97,1.0,0.96,0.98,1.0
wishmaster.csv,0.9,0.93,1.0,0.96,0.97,0.81,0.87,0.68,0.34,0.85,0.75,0.84,0.29,0.83
xreal.csv,0.94,0.89,1.03,0.86,0.97,1.0,0.88,0.92,1.0,0.94,1.01,0.56,0.02,0.96
zealos.csv,0.82,0.92,1.01,0.81,0.42,1.0,0.87,0.91,1.0,0.92,0.69,1.0,0.84,0.81
