,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.47,0.92,0.26,1.0
k3b.csv,0.5,0.56,0.59,0.15,0.89
myfaces.csv,0.71,0.55,0.94,0.35,0.81
robocode.csv,0.68,0.51,0.58,0.23,0.78
zildo.csv,0.73,0.75,0.79,0.21,0.91
