,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.67,0.94,0.51,0.95,0.67
k3b.csv,0.33,0.35,0.33,0.47,0.43
myfaces.csv,0.86,0.36,0.83,0.57,0.52
robocode.csv,0.44,0.41,0.46,0.55,0.41
zildo.csv,0.73,0.42,0.43,0.74,0.53
