,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.48,0.11,0.79,0.38,0.06,0.44
nsis.csv,0.44,0.72,0.05,0.41,0.57,0.51
papertoolkit.csv,0.5,0.27,0.41,0.96,0.56,0.46
plearn.csv,0.66,0.29,0.05,0.37,0.45,0.58
qdvdauthor.csv,0.54,0.63,0.29,0.38,0.76,0.42
tango-cs.csv,0.61,0.0,0.79,0.36,0.54,0.57
