,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.18,0.25,0.14,0.32,0.26,0.2,0.22,0.16,0.33,0.36,0.29,0.21,0.24,0.24,0.25,0.45
fbmanager.csv,0.43,0.3,0.22,0.33,0.42,0.16,0.29,0.42,0.33,0.55,0.46,0.32,0.31,0.29,0.19,0.46
fityk.csv,0.3,0.26,0.26,0.27,0.34,0.26,0.22,0.19,0.29,0.55,0.28,0.2,0.23,0.24,0.32,0.3
fleet-simulator.csv,0.33,0.26,0.29,0.29,0.29,0.34,0.25,0.39,0.27,0.13,0.4,0.3,0.31,0.24,0.29,0.37
google-caja.csv,0.18,0.26,0.18,0.23,0.4,0.24,0.25,0.16,0.32,0.55,0.42,0.26,0.29,0.19,0.31,0.44
itext.csv,0.15,0.21,0.26,0.31,0.33,0.26,0.2,0.19,0.33,0.3,0.21,0.24,0.21,0.23,0.24,0.41
k3b.csv,0.18,0.21,0.42,0.31,0.42,0.22,0.29,0.28,0.29,0.55,0.4,0.24,0.26,0.29,0.31,0.46
megameknet.csv,0.33,0.25,0.32,0.29,0.4,0.35,0.25,0.31,0.32,0.18,0.19,0.32,0.22,0.23,0.31,0.29
myfaces.csv,0.2,0.19,0.15,0.14,0.15,0.18,0.18,0.16,0.25,0.13,0.12,0.24,0.23,0.21,0.2,0.27
ondex.csv,0.16,0.15,0.29,0.26,0.3,0.16,0.18,0.23,0.29,0.54,0.12,0.21,0.22,0.16,0.27,0.34
paintown.csv,0.21,0.28,0.37,0.33,0.42,0.26,0.25,0.33,0.33,0.55,0.46,0.23,0.31,0.34,0.25,0.46
powerfolder.csv,0.17,0.17,0.22,0.19,0.25,0.2,0.2,0.42,0.13,0.19,0.36,0.18,0.26,0.19,0.22,0.2
smartgwt.csv,0.22,0.28,0.25,0.33,0.23,0.23,0.27,0.25,0.21,0.14,0.44,0.21,0.24,0.34,0.29,0.34
triplea.csv,0.23,0.23,0.18,0.28,0.36,0.29,0.25,0.22,0.25,0.14,0.18,0.24,0.25,0.23,0.24,0.32
xamj.csv,0.28,0.19,0.28,0.3,0.17,0.33,0.27,0.36,0.16,0.38,0.44,0.23,0.17,0.18,0.17,0.18
