,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.71,0.62,0.65,0.75,0.18,0.78,0.82,0.75,0.02,0.19,0.25,0.77,0.19,0.98,0.97,0.28
fbmanager.csv,0.0,0.0,0.78,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
fityk.csv,0.5,0.62,0.63,0.79,0.16,0.82,0.64,0.76,0.03,0.15,0.27,0.84,0.18,0.96,0.98,0.41
fleet-simulator.csv,0.52,0.6,0.56,0.77,0.2,0.74,0.71,0.55,0.04,0.39,0.25,0.69,0.17,1.0,0.98,0.36
google-caja.csv,0.66,0.61,0.67,0.92,0.14,0.81,0.7,0.79,0.04,0.23,0.24,0.69,0.16,1.0,0.98,0.31
itext.csv,0.74,0.66,0.69,0.73,0.14,0.8,0.65,0.81,0.04,0.34,0.38,0.65,0.17,0.97,1.0,0.32
k3b.csv,0.74,0.79,0.53,0.75,0.14,0.86,0.69,0.64,0.06,0.24,0.24,0.73,0.15,0.85,1.0,0.31
megameknet.csv,0.5,0.63,0.63,0.76,0.14,0.74,0.66,0.59,0.04,0.39,0.41,0.7,0.16,0.92,1.0,0.36
myfaces.csv,0.66,0.74,0.82,1.0,0.34,0.79,0.73,0.8,0.05,0.43,0.61,0.75,0.18,1.0,1.0,0.38
ondex.csv,0.67,0.89,0.83,0.92,0.16,0.75,0.68,0.62,0.01,0.26,0.59,0.87,0.31,1.0,1.0,0.37
paintown.csv,0.75,0.61,0.55,0.72,0.13,0.74,0.7,0.53,0.05,0.22,0.22,0.71,0.16,0.85,0.96,0.3
powerfolder.csv,0.68,0.73,0.6,0.88,0.18,0.84,0.8,0.67,0.26,0.37,0.2,0.71,0.3,0.95,1.0,0.49
smartgwt.csv,0.64,0.68,0.63,0.74,0.24,0.77,0.6,0.45,0.11,0.46,0.22,0.74,0.16,0.47,0.98,0.32
triplea.csv,0.61,0.87,0.68,0.79,0.16,0.79,0.66,0.65,0.07,0.4,0.36,0.73,0.19,1.0,1.0,0.37
xamj.csv,0.54,0.72,0.52,0.74,0.3,0.74,0.62,0.57,0.13,0.36,0.24,0.76,0.2,1.0,1.0,0.56
