,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.47,0.93,0.95,0.74,0.5,0.91,0.75,0.65,0.83,0.91
fritzing.csv,0.52,0.52,0.57,0.56,0.48,0.49,0.5,0.57,0.5,0.69
jlinalg.csv,0.49,0.41,0.44,0.36,0.42,0.41,0.43,0.41,0.51,0.44
knowledge.csv,0.45,0.68,0.96,0.36,0.4,0.48,0.4,0.43,0.53,0.52
massiv.csv,0.0,0.0,0.86,0.89,0.0,0.75,0.0,0.88,0.0,0.0
multitude.csv,0.52,0.61,0.45,0.41,0.38,0.47,0.43,0.36,0.45,0.52
playerstage.csv,0.75,0.6,0.52,0.6,0.52,0.66,0.7,0.63,0.5,0.55
quarkplusplus.csv,0.53,0.83,0.61,0.88,0.52,0.81,0.8,0.52,0.73,0.75
rtrt-on-gpu.csv,0.92,0.59,0.81,0.61,0.81,0.61,0.9,0.89,0.88,0.76
superwaba.csv,0.47,0.54,0.41,0.39,0.49,0.42,0.59,0.38,0.52,0.47
