,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.67,0.3,0.45,0.18,0.9,0.19,0.28,0.47,0.54,0.18
autoopencas.csv,0.49,0.32,0.17,0.22,0.49,0.19,0.56,0.2,0.38,0.21
gogoego.csv,0.7,0.75,0.37,0.44,0.53,0.15,0.0,0.48,0.5,0.43
jam-daq.csv,0.83,0.62,0.44,0.18,0.25,0.22,0.06,0.5,0.65,0.2
jhotdraw.csv,0.58,0.43,0.23,0.21,0.51,0.43,0.31,0.31,0.52,0.2
pokeglobal.csv,0.78,0.53,0.31,0.26,0.6,0.19,0.28,0.51,0.53,0.26
robocode.csv,0.71,0.71,0.32,0.38,0.29,0.21,0.26,0.31,0.48,0.38
springside.csv,0.82,0.56,0.25,0.32,0.58,0.21,0.33,0.61,0.47,0.32
trinitycore.csv,0.57,0.4,0.24,0.35,0.0,0.19,0.29,0.55,0.45,0.35
uwom-server.csv,0.56,0.5,0.31,0.37,0.5,0.23,0.29,0.55,0.59,0.36
