,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.1,0.13,0.06,0.48,0.85,0.66,0.59,0.37,0.47,0.44
autoopencas.csv,0.51,0.3,0.18,0.43,0.58,0.4,0.75,0.27,0.07,0.45
gogoego.csv,0.46,0.52,0.53,0.5,0.85,0.4,0.0,0.94,0.24,0.53
jam-daq.csv,0.37,0.35,0.34,0.12,0.06,0.61,0.02,0.16,0.69,0.13
jhotdraw.csv,0.93,0.26,0.86,0.45,0.97,0.55,0.84,0.86,0.36,0.42
pokeglobal.csv,0.68,0.7,0.7,0.93,1.0,0.98,0.95,0.51,0.8,0.93
robocode.csv,0.54,0.74,0.75,0.62,0.21,0.42,0.43,0.45,0.87,0.6
springside.csv,0.44,0.65,0.83,0.89,0.85,0.82,0.75,0.67,0.49,0.89
trinitycore.csv,0.1,0.35,0.3,0.55,0.0,0.48,0.32,0.12,0.38,0.6
uwom-server.csv,0.22,0.39,0.24,0.64,0.03,0.31,0.36,0.24,0.51,0.64
