,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.36,0.3,0.43,0.31,0.0,0.33,0.46,0.26,0.24,0.7,0.17,0.44,0.31,0.7,0.67,0.45,0.02,0.32
atlc.csv,0.55,0.3,0.5,0.85,0.8,0.67,0.41,0.65,1.0,0.54,0.96,0.75,0.73,0.9,0.65,0.56,0.44,0.84
ipfilter.csv,0.64,0.59,0.79,0.77,0.34,1.0,0.87,0.7,0.94,0.46,0.87,0.71,0.76,0.83,0.89,0.76,0.58,0.58
liferea.csv,0.91,0.67,0.79,0.77,0.44,1.0,0.56,0.57,0.18,0.57,0.48,0.6,0.67,0.37,0.54,0.71,0.43,0.37
miranda-icq.csv,0.73,0.48,0.93,1.0,1.0,1.0,0.19,0.83,0.65,0.57,0.22,0.71,0.77,0.67,0.5,0.62,0.06,0.63
opensim4opencog.csv,0.45,0.67,0.64,0.77,0.29,1.0,0.91,0.65,0.24,0.81,0.61,0.58,0.53,0.57,0.5,0.58,0.48,0.63
pclasses.csv,0.91,0.52,0.14,0.08,0.0,0.0,0.02,0.57,0.0,0.08,0.04,0.0,0.24,0.4,0.02,0.45,0.01,0.79
pfaedit.csv,0.0,0.52,0.71,0.31,0.0,0.67,0.81,0.22,0.06,0.7,0.17,0.0,0.36,0.23,0.07,0.51,0.05,0.32
psrchive.csv,0.27,0.41,0.86,0.54,0.78,0.33,0.33,0.48,0.0,0.59,0.61,0.88,0.64,0.4,0.59,0.33,0.6,0.21
rockbox.csv,0.18,0.85,0.57,0.46,0.0,1.0,0.48,0.13,0.24,0.51,0.17,0.38,0.2,0.33,0.09,0.36,0.2,0.79
theresa.csv,0.09,0.85,0.43,0.46,0.51,1.0,0.74,0.26,0.0,0.62,0.7,0.38,0.61,0.5,0.46,0.44,0.52,0.42
thrust.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.22,0.65,0.05,0.0,0.0,0.06,0.33,0.11,0.11,0.0,0.05
tktoolkit.csv,0.36,0.78,0.5,0.54,0.12,0.0,0.8,0.61,0.65,0.43,0.57,0.58,0.45,0.73,0.65,0.35,0.75,0.95
trinitycore.csv,0.64,0.37,0.57,0.0,0.02,1.0,0.02,0.35,0.24,0.76,0.17,0.15,0.45,0.1,0.02,0.65,0.02,0.16
tzod.csv,0.45,0.67,0.5,1.0,0.41,0.67,0.04,0.13,0.24,0.43,0.13,0.42,0.32,0.17,0.5,0.29,0.45,0.05
yaprm.csv,0.64,0.52,0.36,0.08,0.07,0.0,0.48,0.17,0.41,0.68,0.39,0.08,0.75,0.47,0.22,0.36,0.29,0.37
zemljanka.csv,0.91,0.74,0.86,0.69,0.88,1.0,0.87,0.96,0.59,0.92,0.7,0.62,0.65,0.73,0.61,0.93,0.75,0.68
