,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.43,0.45,0.57,0.28,0.82,0.52,0.19,0.46,0.69,0.85,0.4,0.24,0.63,0.35,0.65
autowikibrowser.csv,0.46,0.48,0.54,0.17,0.7,0.56,0.1,0.64,0.73,0.87,0.32,0.32,0.74,0.32,0.59
biodwh.csv,0.49,0.37,0.41,0.4,0.59,0.58,0.13,0.15,0.58,0.62,0.33,0.25,0.54,0.51,0.63
cities3d.csv,0.32,0.17,0.45,0.3,0.0,0.08,0.0,0.11,0.25,0.21,0.0,0.34,0.58,0.31,0.0
dynalloy.csv,0.28,0.69,0.48,0.19,0.9,0.62,0.3,0.24,0.57,0.74,0.31,0.2,0.53,0.23,0.54
enzo.csv,0.4,0.49,0.53,0.16,0.78,0.58,0.1,0.84,0.78,0.86,0.22,0.33,0.58,0.26,0.56
genecys.csv,0.25,0.53,0.46,0.19,0.85,0.66,0.22,0.58,0.67,0.61,0.29,0.15,0.28,0.25,0.51
kmatplot.csv,0.56,0.36,0.5,0.22,0.0,0.08,0.0,0.11,0.16,0.0,0.29,0.31,0.45,0.25,0.48
modplug.csv,0.33,0.53,0.53,0.17,0.92,0.6,0.24,0.65,0.85,0.54,0.36,0.26,0.6,0.26,0.62
nabu-library.csv,0.33,0.41,0.28,0.04,0.06,0.65,0.22,0.83,0.67,0.72,0.32,0.0,0.31,0.0,0.53
natpad.csv,0.45,0.48,0.48,0.37,0.53,0.71,0.19,0.68,0.41,0.36,0.36,0.21,0.19,0.16,0.69
nebuladevice.csv,0.31,0.34,0.41,0.16,0.29,0.33,0.05,0.51,0.13,0.15,0.0,0.45,0.38,0.13,0.0
ossbuild.csv,0.33,0.56,0.47,0.18,0.84,0.58,0.42,0.36,0.56,0.26,0.43,0.08,0.66,0.27,0.45
xemeiah.csv,0.37,0.54,0.47,0.25,0.87,0.73,0.15,0.59,0.67,0.67,0.39,0.24,0.57,0.26,0.7
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
