,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.46,0.33,0.33,0.32,0.33,0.17,0.96,0.41,0.08,0.56,0.6,0.42,0.43,0.42,0.62
autowikibrowser.csv,0.4,0.77,0.65,0.61,0.56,0.4,0.76,0.32,0.71,0.28,0.51,0.75,0.26,0.7,0.52
biodwh.csv,0.09,0.01,0.11,0.08,0.33,0.05,0.58,0.01,0.04,0.16,0.12,0.28,0.15,0.24,0.28
cities3d.csv,0.18,0.25,0.49,0.29,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.69,0.06,0.52,0.0
dynalloy.csv,0.78,0.27,0.7,0.64,0.78,0.58,0.53,0.7,0.67,0.88,0.91,0.83,0.57,0.37,0.64
enzo.csv,0.58,0.73,0.8,0.86,0.78,0.71,0.78,0.37,0.88,0.28,0.88,0.85,0.83,0.96,0.69
genecys.csv,0.56,0.89,0.71,0.69,0.33,0.78,0.72,0.82,0.88,0.72,0.74,0.82,0.22,0.92,0.64
kmatplot.csv,0.21,0.27,0.69,0.62,0.11,0.04,0.01,0.05,0.04,0.0,0.05,0.96,0.44,0.51,0.11
modplug.csv,0.91,0.73,0.77,0.9,0.89,0.86,0.95,0.94,0.08,0.2,0.84,0.63,1.0,0.58,0.62
nabu-library.csv,0.56,0.54,0.29,0.13,0.0,0.49,0.32,0.25,0.38,0.88,0.26,0.14,0.39,0.21,0.33
natpad.csv,0.23,0.82,0.42,0.16,0.11,0.5,0.48,0.15,0.29,0.64,0.6,0.15,0.06,0.66,0.28
nebuladevice.csv,0.2,0.35,0.66,0.34,0.33,0.29,0.02,0.85,0.04,0.0,0.07,0.23,0.22,0.44,0.0
ossbuild.csv,0.66,0.53,0.4,0.63,0.78,0.63,0.23,0.74,0.08,0.12,0.53,0.11,0.7,0.2,0.19
xemeiah.csv,0.46,0.78,0.54,0.43,0.78,0.29,0.66,0.8,0.33,0.76,0.72,0.41,0.2,0.86,0.42
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
