,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.83,0.46,0.63,0.73,0.73,0.42,0.81,0.41,0.55,0.83,0.9,0.4,0.7,0.75,0.93
autowikibrowser.csv,0.83,0.73,0.81,0.7,0.58,0.57,0.31,0.62,0.75,0.82,0.6,0.87,0.77,1.0,0.74
biodwh.csv,0.45,0.23,0.31,0.46,0.44,0.43,0.34,0.08,0.42,0.47,0.3,0.33,0.43,0.83,0.65
cities3d.csv,0.34,0.13,0.55,0.73,0.0,0.04,0.0,0.06,0.15,0.12,0.0,0.87,0.43,0.75,0.0
dynalloy.csv,0.72,0.79,0.72,0.84,0.9,0.75,0.81,0.22,0.51,0.72,0.9,0.53,0.61,0.42,0.72
enzo.csv,0.9,0.73,0.89,0.92,0.71,0.75,0.34,0.97,0.89,0.81,0.6,1.0,0.82,1.0,0.79
genecys.csv,0.48,0.92,0.68,0.89,0.77,0.94,0.75,0.73,0.69,0.52,0.7,0.4,0.2,0.92,0.67
kmatplot.csv,0.76,0.33,0.75,0.95,0.0,0.04,0.0,0.06,0.09,0.0,0.2,1.0,0.45,0.58,0.37
modplug.csv,0.97,0.83,0.86,1.0,0.97,0.87,1.0,0.9,0.76,0.39,1.0,0.6,0.95,0.67,0.86
nabu-library.csv,0.69,0.5,0.25,0.05,0.03,0.76,0.41,0.87,0.58,0.69,0.4,0.0,0.27,0.0,0.53
natpad.csv,0.59,0.77,0.55,0.62,0.37,0.87,0.44,0.59,0.29,0.25,0.8,0.2,0.11,0.42,0.74
nebuladevice.csv,0.34,0.33,0.57,0.41,0.18,0.27,0.03,0.62,0.07,0.08,0.0,0.6,0.3,0.25,0.0
ossbuild.csv,0.76,0.75,0.52,0.76,0.81,0.7,0.69,0.37,0.4,0.16,0.9,0.07,0.91,0.33,0.37
xemeiah.csv,0.69,0.88,0.6,0.81,0.85,0.78,0.44,0.74,0.58,0.6,1.0,0.4,0.5,0.92,0.88
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
