,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.1,0.0,0.06,0.05,0.1,0.0,0.01,0.06,0.06,0.01
etherboot.csv,0.62,0.4,0.43,0.93,0.24,0.34,0.3,0.35,0.51,0.35,0.44
ffigo.csv,0.62,0.39,0.46,0.45,0.5,0.59,0.55,0.34,1.0,0.53,0.54
gebr.csv,0.71,0.52,0.62,0.61,0.56,0.96,0.61,0.64,0.64,0.27,0.56
gpac.csv,0.4,0.35,0.5,0.31,0.96,0.32,0.46,0.44,0.32,0.37,0.4
libtorrent.csv,0.54,0.57,0.64,0.49,0.33,0.6,0.99,0.63,0.58,0.46,0.63
miranda.csv,0.23,0.28,0.35,0.42,0.34,0.42,0.4,0.38,0.09,0.32,0.98
modellus.csv,0.23,0.23,0.43,0.36,0.66,0.2,0.43,0.95,0.56,0.47,0.43
mplayer-ce.csv,0.52,0.43,0.45,0.38,0.35,0.13,0.23,0.47,0.36,0.98,0.48
nicepress.csv,0.0,0.51,1.0,0.06,0.53,0.44,0.29,0.27,0.33,0.54,0.49
vapor.csv,0.0,0.83,0.2,0.17,0.0,0.06,0.25,0.29,0.04,0.0,0.21
